,round_1,round_2,round_3
variant_4161,7.0,17.0,2.0
variant_4162,1.0,0.0,0.0
variant_4163,8.0,7.0,0.0
variant_4164,9.0,14.0,0.0
variant_4165,5.0,0.0,0.0
variant_4166,11.0,23.0,3.0
variant_4167,2.0,0.0,0.0
variant_4168,5.0,0.0,0.0
variant_4169,9.0,18.0,3.0
variant_4170,2.0,0.0,0.0
variant_4171,5.0,0.0,0.0
variant_4172,1.0,0.0,0.0
variant_4173,6.0,0.0,0.0
variant_4174,1.0,0.0,0.0
variant_4175,2.0,0.0,0.0
variant_4176,20.0,16.0,0.0
variant_4177,5.0,3.0,1.0
variant_4178,9.0,5.0,1.0
variant_4179,12.0,17.0,0.0
variant_4180,4.0,0.0,0.0
variant_4181,6.0,5.0,3.0
variant_4182,1.0,0.0,0.0
variant_4183,6.0,0.0,0.0
variant_4184,1.0,1.0,0.0
variant_4185,6.0,1.0,0.0
variant_4186,3.0,9.0,2.0
variant_4187,12.0,47.0,7.0
variant_4188,9.0,0.0,0.0
variant_4189,1.0,0.0,0.0
variant_4190,2.0,4.0,0.0
variant_4191,11.0,0.0,0.0
variant_4192,5.0,4.0,0.0
variant_4193,3.0,0.0,0.0
variant_4194,14.0,0.0,0.0
variant_4195,1.0,0.0,0.0
variant_4196,6.0,6.0,8.0
variant_4197,11.0,2.0,3.0
variant_4198,7.0,0.0,1.0
variant_4199,9.0,10.0,2.0
variant_4200,1.0,0.0,0.0
variant_4201,13.0,0.0,0.0
variant_4202,1.0,0.0,0.0
variant_4203,3.0,20.0,4.0
variant_4204,14.0,0.0,0.0
variant_4205,4.0,1.0,0.0
variant_4206,8.0,0.0,0.0
variant_4207,4.0,0.0,0.0
variant_4208,18.0,16.0,1.0
variant_4209,1.0,0.0,0.0
variant_4210,4.0,0.0,0.0
variant_4211,9.0,14.0,6.0
variant_4212,1.0,2.0,0.0
variant_4213,1.0,0.0,0.0
variant_4214,2.0,0.0,0.0
variant_4215,15.0,11.0,0.0
variant_4216,10.0,6.0,2.0
variant_4217,4.0,19.0,4.0
variant_4218,3.0,18.0,4.0
variant_4219,10.0,30.0,2.0
variant_4220,4.0,0.0,0.0
variant_4221,6.0,3.0,0.0
variant_4222,7.0,20.0,2.0
variant_4223,1.0,1.0,0.0
variant_4224,1.0,0.0,0.0
variant_4225,3.0,0.0,0.0
variant_4226,1.0,0.0,0.0
variant_4227,1.0,0.0,0.0
variant_4228,6.0,0.0,0.0
variant_4229,1.0,0.0,0.0
variant_4230,2.0,0.0,0.0
variant_4231,9.0,0.0,0.0
variant_4232,1.0,0.0,0.0
variant_4233,1.0,0.0,0.0
variant_4234,1.0,0.0,0.0
variant_4235,3.0,21.0,24.0
variant_4236,5.0,9.0,0.0
variant_4237,3.0,3.0,2.0
variant_4238,1.0,0.0,0.0
variant_4239,1.0,0.0,1.0
variant_4240,1.0,0.0,0.0
variant_4241,4.0,7.0,0.0
variant_4242,7.0,1.0,0.0
variant_4243,2.0,1.0,0.0
variant_4244,5.0,3.0,0.0
variant_4245,6.0,0.0,0.0
variant_4246,2.0,0.0,0.0
variant_4247,1.0,0.0,0.0
variant_4248,4.0,3.0,0.0
variant_4249,6.0,0.0,0.0
variant_4250,4.0,5.0,2.0
variant_4251,3.0,31.0,13.0
variant_4252,4.0,0.0,0.0
variant_4253,7.0,0.0,0.0
variant_4254,13.0,24.0,1.0
variant_4255,1.0,0.0,0.0
variant_4256,9.0,3.0,0.0
variant_4257,1.0,2.0,0.0
variant_4258,1.0,12.0,0.0
variant_4259,1.0,0.0,0.0
variant_4260,3.0,10.0,0.0
variant_4261,9.0,6.0,1.0
variant_4262,10.0,2.0,0.0
variant_4263,4.0,0.0,0.0
variant_4264,14.0,11.0,3.0
variant_4265,3.0,1.0,0.0
variant_4266,1.0,0.0,0.0
variant_4267,7.0,1.0,0.0
variant_4268,1.0,0.0,0.0
variant_4269,1.0,0.0,0.0
variant_4270,4.0,0.0,0.0
variant_4271,6.0,7.0,0.0
variant_4272,6.0,16.0,0.0
variant_4273,2.0,0.0,0.0
variant_4274,1.0,0.0,0.0
variant_4275,9.0,0.0,0.0
variant_4276,1.0,0.0,0.0
variant_4277,1.0,0.0,0.0
variant_4278,3.0,11.0,1.0
variant_4279,5.0,2.0,0.0
variant_4280,11.0,0.0,0.0
variant_4281,1.0,0.0,0.0
variant_4282,2.0,0.0,0.0
variant_4283,9.0,4.0,1.0
variant_4284,5.0,0.0,0.0
variant_4285,2.0,2.0,0.0
variant_4286,8.0,0.0,0.0
variant_4287,8.0,1.0,0.0
variant_4288,11.0,6.0,5.0
variant_4289,6.0,1.0,0.0
variant_4290,2.0,5.0,0.0
variant_4291,2.0,0.0,0.0
variant_4292,6.0,0.0,0.0
variant_4293,3.0,3.0,0.0
variant_4294,7.0,0.0,0.0
variant_4295,1.0,1.0,0.0
variant_4296,1.0,0.0,0.0
variant_4297,3.0,2.0,0.0
variant_4298,1.0,0.0,0.0
variant_4299,5.0,3.0,0.0
variant_4300,13.0,0.0,0.0
variant_4301,1.0,0.0,0.0
variant_4302,8.0,0.0,0.0
variant_4303,4.0,3.0,0.0
variant_4304,3.0,3.0,0.0
variant_4305,1.0,0.0,1.0
variant_4306,2.0,0.0,0.0
variant_4307,9.0,5.0,1.0
variant_4308,5.0,8.0,0.0
variant_4309,10.0,0.0,0.0
variant_4310,5.0,0.0,0.0
variant_4311,8.0,0.0,0.0
variant_4312,1.0,0.0,0.0
variant_4313,13.0,5.0,1.0
variant_4314,1.0,0.0,0.0
variant_4315,3.0,3.0,3.0
variant_4316,5.0,2.0,0.0
variant_4317,7.0,1.0,0.0
variant_4318,1.0,0.0,0.0
variant_4319,8.0,9.0,1.0
variant_4320,9.0,19.0,3.0
variant_4321,8.0,18.0,2.0
variant_4322,1.0,0.0,0.0
variant_4323,10.0,16.0,3.0
variant_4324,9.0,0.0,0.0
variant_4325,1.0,0.0,0.0
variant_4326,3.0,0.0,0.0
variant_4327,4.0,9.0,6.0
variant_4328,1.0,0.0,0.0
variant_4329,8.0,0.0,0.0
variant_4330,1.0,1.0,1.0
variant_4331,9.0,6.0,0.0
variant_4332,6.0,0.0,0.0
variant_4333,2.0,8.0,0.0
variant_4334,2.0,0.0,0.0
variant_4335,1.0,0.0,0.0
variant_4336,1.0,9.0,1.0
variant_4337,3.0,6.0,0.0
variant_4338,1.0,1.0,0.0
variant_4339,21.0,29.0,9.0
variant_4340,2.0,0.0,0.0
variant_4341,1.0,0.0,0.0
variant_4342,19.0,11.0,0.0
variant_4343,2.0,4.0,0.0
variant_4344,4.0,6.0,0.0
variant_4345,2.0,2.0,0.0
variant_4346,2.0,0.0,0.0
variant_4347,1.0,0.0,0.0
variant_4348,1.0,0.0,0.0
variant_4349,1.0,0.0,0.0
variant_4350,7.0,6.0,0.0
variant_4351,6.0,0.0,0.0
variant_4352,1.0,0.0,0.0
variant_4353,2.0,6.0,0.0
variant_4354,8.0,0.0,0.0
variant_4355,14.0,6.0,0.0
variant_4356,6.0,1.0,0.0
variant_4357,4.0,7.0,1.0
variant_4358,13.0,29.0,8.0
variant_4359,5.0,4.0,0.0
variant_4360,4.0,0.0,0.0
variant_4361,9.0,1.0,0.0
variant_4362,1.0,0.0,0.0
variant_4363,4.0,20.0,4.0
variant_4364,5.0,0.0,0.0
variant_4365,12.0,20.0,16.0
variant_4366,2.0,3.0,0.0
variant_4367,3.0,0.0,0.0
variant_4368,1.0,0.0,0.0
variant_4369,3.0,14.0,0.0
variant_4370,2.0,1.0,0.0
variant_4371,8.0,5.0,2.0
variant_4372,3.0,12.0,3.0
variant_4373,20.0,1.0,0.0
variant_4374,7.0,2.0,4.0
variant_4375,11.0,16.0,6.0
variant_4376,1.0,0.0,0.0
variant_4377,1.0,0.0,0.0
variant_4378,100.0,56.0,1.0
variant_4379,6.0,3.0,0.0
variant_4380,7.0,1.0,0.0
variant_4381,1.0,0.0,0.0
variant_4382,13.0,11.0,0.0
variant_4383,1.0,0.0,0.0
variant_4384,11.0,13.0,0.0
variant_4385,11.0,6.0,0.0
variant_4386,8.0,19.0,15.0
variant_4387,5.0,17.0,6.0
variant_4388,18.0,3.0,0.0
variant_4389,12.0,0.0,0.0
variant_4390,9.0,0.0,0.0
variant_4391,1.0,0.0,0.0
variant_4392,1.0,0.0,0.0
variant_4393,4.0,0.0,0.0
variant_4394,2.0,0.0,0.0
variant_4395,3.0,9.0,0.0
variant_4396,7.0,17.0,11.0
variant_4397,1.0,0.0,0.0
variant_4398,1.0,0.0,0.0
variant_4399,7.0,0.0,0.0
variant_4400,4.0,0.0,0.0
variant_4401,1.0,0.0,0.0
variant_4402,3.0,0.0,0.0
variant_4403,1.0,0.0,0.0
variant_4404,6.0,0.0,0.0
variant_4405,12.0,5.0,0.0
variant_4406,11.0,1.0,0.0
variant_4407,1.0,0.0,0.0
variant_4408,3.0,0.0,0.0
variant_4409,2.0,0.0,0.0
variant_4410,4.0,0.0,0.0
variant_4411,1.0,0.0,0.0
variant_4412,1.0,0.0,0.0
variant_4413,2.0,0.0,0.0
variant_4414,6.0,3.0,1.0
variant_4415,2.0,0.0,0.0
variant_4416,2.0,4.0,0.0
variant_4417,4.0,1.0,0.0
variant_4418,1.0,0.0,0.0
variant_4419,5.0,10.0,3.0
variant_4420,6.0,0.0,0.0
variant_4421,4.0,0.0,0.0
variant_4422,1.0,0.0,0.0
variant_4423,4.0,1.0,0.0
variant_4424,7.0,4.0,1.0
variant_4425,1.0,0.0,0.0
variant_4426,1.0,0.0,0.0
variant_4427,1.0,0.0,0.0
variant_4428,1.0,0.0,0.0
variant_4429,4.0,3.0,4.0
variant_4430,4.0,0.0,0.0
variant_4431,4.0,0.0,0.0
variant_4432,7.0,3.0,0.0
variant_4433,1.0,0.0,0.0
variant_4434,6.0,8.0,0.0
variant_4435,2.0,0.0,0.0
variant_4436,1.0,0.0,0.0
variant_4437,5.0,1.0,1.0
variant_4438,2.0,1.0,0.0
variant_4439,5.0,3.0,1.0
variant_4440,5.0,0.0,0.0
variant_4441,5.0,0.0,0.0
variant_4442,9.0,0.0,0.0
variant_4443,3.0,2.0,0.0
variant_4444,1.0,0.0,0.0
variant_4445,1.0,0.0,0.0
variant_4446,4.0,0.0,0.0
variant_4447,7.0,7.0,0.0
variant_4448,6.0,0.0,0.0
variant_4449,16.0,40.0,3.0
variant_4450,3.0,2.0,0.0
variant_4451,1.0,0.0,0.0
variant_4452,2.0,0.0,0.0
variant_4453,2.0,0.0,0.0
variant_4454,5.0,0.0,0.0
variant_4455,8.0,0.0,0.0
variant_4456,1.0,0.0,0.0
variant_4457,6.0,9.0,1.0
variant_4458,10.0,0.0,0.0
variant_4459,2.0,0.0,0.0
variant_4460,1.0,0.0,0.0
variant_4461,6.0,1.0,0.0
variant_4462,5.0,5.0,0.0
variant_4463,1.0,0.0,0.0
variant_4464,2.0,0.0,0.0
variant_4465,5.0,9.0,1.0
variant_4466,2.0,0.0,0.0
variant_4467,3.0,0.0,0.0
variant_4468,22.0,18.0,0.0
variant_4469,1.0,0.0,0.0
variant_4470,11.0,2.0,0.0
variant_4471,12.0,13.0,1.0
variant_4472,17.0,28.0,3.0
variant_4473,1.0,0.0,0.0
variant_4474,2.0,5.0,0.0
variant_4475,1.0,4.0,2.0
variant_4476,1.0,0.0,0.0
variant_4477,2.0,0.0,0.0
variant_4478,6.0,0.0,0.0
variant_4479,11.0,43.0,44.0
variant_4480,7.0,12.0,2.0
variant_4481,1.0,0.0,0.0
variant_4482,1.0,0.0,0.0
variant_4483,1.0,0.0,0.0
variant_4484,4.0,1.0,2.0
variant_4485,4.0,8.0,1.0
variant_4486,1.0,0.0,0.0
variant_4487,6.0,0.0,0.0
variant_4488,5.0,4.0,2.0
variant_4489,1.0,0.0,0.0
variant_4490,16.0,2.0,0.0
variant_4491,5.0,4.0,0.0
variant_4492,1.0,0.0,0.0
variant_4493,14.0,0.0,0.0
variant_4494,14.0,0.0,0.0
variant_4495,1.0,0.0,0.0
variant_4496,10.0,4.0,0.0
variant_4497,6.0,7.0,1.0
variant_4498,1.0,0.0,0.0
variant_4499,1.0,0.0,0.0
variant_4500,9.0,3.0,0.0
variant_4501,9.0,0.0,0.0
variant_4502,3.0,0.0,0.0
variant_4503,1.0,0.0,0.0
variant_4504,4.0,0.0,0.0
variant_4505,1.0,0.0,0.0
variant_4506,1.0,0.0,0.0
variant_4507,9.0,0.0,0.0
variant_4508,1.0,0.0,0.0
variant_4509,11.0,0.0,0.0
variant_4510,1.0,0.0,0.0
variant_4511,10.0,11.0,0.0
variant_4512,7.0,3.0,0.0
variant_4513,14.0,7.0,0.0
variant_4514,9.0,4.0,2.0
variant_4515,5.0,2.0,0.0
variant_4516,12.0,17.0,0.0
variant_4517,1.0,0.0,0.0
variant_4518,6.0,2.0,1.0
variant_4519,1.0,0.0,0.0
variant_4520,8.0,3.0,3.0
variant_4521,9.0,11.0,0.0
variant_4522,1.0,0.0,0.0
variant_4523,16.0,34.0,8.0
variant_4524,1.0,0.0,0.0
variant_4525,1.0,0.0,0.0
variant_4526,14.0,23.0,3.0
variant_4527,1.0,0.0,0.0
variant_4528,6.0,4.0,0.0
variant_4529,10.0,18.0,4.0
variant_4530,1.0,0.0,0.0
variant_4531,1.0,1.0,0.0
variant_4532,1.0,0.0,0.0
variant_4533,14.0,7.0,0.0
variant_4534,1.0,0.0,0.0
variant_4535,9.0,1.0,0.0
variant_4536,1.0,0.0,0.0
variant_4537,2.0,1.0,0.0
variant_4538,4.0,2.0,0.0
variant_4539,3.0,7.0,0.0
variant_4540,3.0,2.0,0.0
variant_4541,1.0,0.0,0.0
variant_4542,1.0,0.0,0.0
variant_4543,1.0,0.0,0.0
variant_4544,1.0,1.0,0.0
variant_4545,1.0,0.0,0.0
variant_4546,4.0,13.0,5.0
variant_4547,5.0,0.0,0.0
variant_4548,3.0,5.0,0.0
variant_4549,5.0,10.0,24.0
variant_4550,1.0,0.0,0.0
variant_4551,6.0,9.0,0.0
variant_4552,5.0,0.0,0.0
variant_4553,6.0,1.0,2.0
variant_4554,1.0,0.0,0.0
variant_4555,3.0,1.0,1.0
variant_4556,2.0,0.0,0.0
variant_4557,8.0,23.0,0.0
variant_4558,10.0,39.0,4.0
variant_4559,1.0,3.0,0.0
variant_4560,1.0,0.0,0.0
variant_4561,1.0,17.0,2.0
variant_4562,1.0,1.0,0.0
variant_4563,6.0,16.0,6.0
variant_4564,17.0,7.0,0.0
variant_4565,1.0,0.0,0.0
variant_4566,8.0,17.0,1.0
variant_4567,8.0,2.0,0.0
variant_4568,9.0,0.0,0.0
variant_4569,7.0,9.0,0.0
variant_4570,4.0,0.0,0.0
variant_4571,1.0,0.0,0.0
variant_4572,7.0,3.0,0.0
variant_4573,1.0,0.0,0.0
variant_4574,1.0,1.0,0.0
variant_4575,10.0,15.0,3.0
variant_4576,5.0,8.0,2.0
variant_4577,8.0,0.0,0.0
variant_4578,34.0,24.0,5.0
variant_4579,14.0,15.0,5.0
variant_4580,14.0,5.0,0.0
variant_4581,5.0,8.0,4.0
variant_4582,8.0,19.0,2.0
variant_4583,13.0,8.0,0.0
variant_4584,3.0,10.0,1.0
variant_4585,1.0,1.0,0.0
variant_4586,5.0,0.0,0.0
variant_4587,6.0,11.0,16.0
variant_4588,1.0,0.0,0.0
variant_4589,2.0,0.0,0.0
variant_4590,11.0,15.0,4.0
variant_4591,1.0,0.0,0.0
variant_4592,1.0,0.0,0.0
variant_4593,3.0,14.0,12.0
variant_4594,1.0,0.0,0.0
variant_4595,12.0,0.0,0.0
variant_4596,1.0,0.0,0.0
variant_4597,15.0,2.0,0.0
variant_4598,2.0,0.0,0.0
variant_4599,8.0,0.0,0.0
variant_4600,1.0,1.0,1.0
variant_4601,6.0,9.0,0.0
variant_4602,4.0,0.0,0.0
variant_4603,1.0,0.0,0.0
variant_4604,1.0,0.0,0.0
variant_4605,6.0,0.0,0.0
variant_4606,4.0,10.0,1.0
variant_4607,11.0,1.0,0.0
variant_4608,17.0,4.0,0.0
variant_4609,7.0,0.0,0.0
variant_4610,3.0,0.0,0.0
variant_4611,7.0,0.0,0.0
variant_4612,1.0,5.0,0.0
variant_4613,16.0,3.0,0.0
variant_4614,3.0,0.0,0.0
variant_4615,4.0,1.0,0.0
variant_4616,1.0,0.0,0.0
variant_4617,3.0,9.0,0.0
variant_4618,6.0,7.0,1.0
variant_4619,12.0,8.0,2.0
variant_4620,1.0,0.0,0.0
variant_4621,29.0,0.0,0.0
variant_4622,7.0,0.0,0.0
variant_4623,1.0,0.0,0.0
variant_4624,11.0,10.0,5.0
variant_4625,2.0,0.0,0.0
variant_4626,1.0,0.0,0.0
variant_4627,8.0,1.0,0.0
variant_4628,1.0,0.0,0.0
variant_4629,4.0,1.0,0.0
variant_4630,1.0,0.0,0.0
variant_4631,6.0,12.0,1.0
variant_4632,6.0,1.0,0.0
variant_4633,1.0,0.0,0.0
variant_4634,2.0,0.0,0.0
variant_4635,1.0,0.0,0.0
variant_4636,7.0,2.0,0.0
variant_4637,1.0,0.0,0.0
variant_4638,10.0,3.0,2.0
variant_4639,7.0,0.0,0.0
variant_4640,2.0,8.0,0.0
variant_4641,10.0,2.0,0.0
variant_4642,12.0,3.0,0.0
variant_4643,1.0,0.0,0.0
variant_4644,9.0,5.0,4.0
variant_4645,3.0,0.0,0.0
variant_4646,13.0,0.0,0.0
variant_4647,5.0,10.0,0.0
variant_4648,4.0,0.0,0.0
variant_4649,6.0,31.0,9.0
variant_4650,1.0,12.0,0.0
variant_4651,10.0,3.0,2.0
variant_4652,1.0,0.0,0.0
variant_4653,1.0,0.0,0.0
variant_4654,8.0,2.0,0.0
variant_4655,1.0,0.0,0.0
variant_4656,5.0,0.0,0.0
variant_4657,20.0,12.0,1.0
variant_4658,5.0,0.0,0.0
variant_4659,11.0,0.0,0.0
variant_4660,1.0,0.0,0.0
variant_4661,3.0,0.0,0.0
variant_4662,8.0,21.0,1.0
variant_4663,1.0,0.0,0.0
variant_4664,3.0,0.0,0.0
variant_4665,8.0,13.0,4.0
variant_4666,9.0,1.0,0.0
variant_4667,4.0,0.0,0.0
variant_4668,9.0,7.0,0.0
variant_4669,2.0,7.0,4.0
variant_4670,9.0,4.0,0.0
variant_4671,3.0,0.0,0.0
variant_4672,11.0,0.0,0.0
variant_4673,5.0,0.0,0.0
variant_4674,12.0,6.0,7.0
variant_4675,1.0,0.0,0.0
variant_4676,11.0,1.0,0.0
variant_4677,17.0,16.0,4.0
variant_4678,16.0,23.0,9.0
variant_4679,8.0,10.0,5.0
variant_4680,6.0,0.0,0.0
variant_4681,7.0,0.0,0.0
variant_4682,5.0,8.0,0.0
variant_4683,1.0,0.0,0.0
variant_4684,1.0,0.0,0.0
variant_4685,1.0,0.0,0.0
variant_4686,7.0,9.0,4.0
variant_4687,1.0,0.0,0.0
variant_4688,2.0,0.0,0.0
variant_4689,9.0,0.0,0.0
variant_4690,4.0,0.0,0.0
variant_4691,10.0,10.0,0.0
variant_4692,3.0,2.0,3.0
variant_4693,12.0,11.0,0.0
variant_4694,6.0,0.0,0.0
variant_4695,8.0,7.0,0.0
variant_4696,1.0,0.0,0.0
variant_4697,5.0,2.0,0.0
variant_4698,1.0,0.0,0.0
variant_4699,7.0,2.0,0.0
variant_4700,23.0,21.0,2.0
variant_4701,10.0,1.0,1.0
variant_4702,1.0,0.0,0.0
variant_4703,1.0,0.0,0.0
variant_4704,4.0,4.0,0.0
variant_4705,1.0,1.0,0.0
variant_4706,10.0,12.0,2.0
variant_4707,1.0,0.0,0.0
variant_4708,8.0,6.0,0.0
variant_4709,12.0,3.0,0.0
variant_4710,1.0,0.0,0.0
variant_4711,12.0,3.0,0.0
variant_4712,1.0,0.0,0.0
variant_4713,4.0,0.0,0.0
variant_4714,7.0,9.0,6.0
variant_4715,2.0,0.0,0.0
variant_4716,1.0,0.0,0.0
variant_4717,1.0,0.0,0.0
variant_4718,11.0,0.0,2.0
variant_4719,1.0,0.0,0.0
variant_4720,2.0,0.0,0.0
variant_4721,1.0,0.0,0.0
variant_4722,3.0,5.0,0.0
variant_4723,2.0,0.0,0.0
variant_4724,5.0,0.0,0.0
variant_4725,8.0,4.0,0.0
variant_4726,5.0,0.0,0.0
variant_4727,1.0,0.0,0.0
variant_4728,7.0,0.0,0.0
variant_4729,5.0,0.0,0.0
variant_4730,27.0,22.0,7.0
variant_4731,23.0,10.0,0.0
variant_4732,8.0,0.0,0.0
variant_4733,1.0,0.0,0.0
variant_4734,10.0,0.0,0.0
variant_4735,6.0,3.0,1.0
variant_4736,1.0,0.0,0.0
variant_4737,6.0,4.0,0.0
variant_4738,2.0,1.0,0.0
variant_4739,7.0,2.0,0.0
variant_4740,4.0,2.0,0.0
variant_4741,1.0,0.0,0.0
variant_4742,3.0,0.0,0.0
variant_4743,1.0,0.0,1.0
variant_4744,6.0,0.0,0.0
variant_4745,4.0,0.0,1.0
variant_4746,3.0,4.0,0.0
variant_4747,10.0,2.0,0.0
variant_4748,1.0,0.0,0.0
variant_4749,6.0,6.0,4.0
variant_4750,6.0,2.0,0.0
variant_4751,1.0,0.0,0.0
variant_4752,10.0,3.0,0.0
variant_4753,8.0,0.0,0.0
variant_4754,3.0,0.0,0.0
variant_4755,4.0,9.0,5.0
variant_4756,5.0,7.0,5.0
variant_4757,1.0,0.0,0.0
variant_4758,3.0,6.0,1.0
variant_4759,1.0,3.0,0.0
variant_4760,1.0,0.0,0.0
variant_4761,1.0,0.0,0.0
variant_4762,1.0,0.0,0.0
variant_4763,1.0,0.0,0.0
variant_4764,6.0,28.0,2.0
variant_4765,1.0,0.0,0.0
variant_4766,3.0,0.0,0.0
variant_4767,78.0,21.0,3.0
variant_4768,6.0,0.0,0.0
variant_4769,1.0,0.0,0.0
variant_4770,7.0,44.0,14.0
variant_4771,11.0,3.0,3.0
variant_4772,6.0,11.0,0.0
variant_4773,8.0,18.0,6.0
variant_4774,1.0,0.0,0.0
variant_4775,3.0,5.0,2.0
variant_4776,2.0,1.0,0.0
variant_4777,1.0,0.0,0.0
variant_4778,1.0,0.0,0.0
variant_4779,2.0,2.0,0.0
variant_4780,2.0,0.0,0.0
variant_4781,2.0,0.0,0.0
variant_4782,5.0,0.0,0.0
variant_4783,3.0,0.0,0.0
variant_4784,13.0,3.0,0.0
variant_4785,1.0,0.0,0.0
variant_4786,4.0,0.0,0.0
variant_4787,3.0,25.0,1.0
variant_4788,1.0,2.0,1.0
variant_4789,8.0,12.0,0.0
variant_4790,7.0,0.0,0.0
variant_4791,1.0,0.0,0.0
variant_4792,1.0,0.0,0.0
variant_4793,3.0,0.0,0.0
variant_4794,5.0,1.0,0.0
variant_4795,1.0,0.0,0.0
variant_4796,8.0,3.0,0.0
variant_4797,14.0,20.0,6.0
variant_4798,2.0,1.0,0.0
variant_4799,4.0,0.0,0.0
variant_4800,1.0,0.0,0.0
variant_4801,4.0,10.0,0.0
variant_4802,6.0,0.0,0.0
variant_4803,1.0,0.0,0.0
variant_4804,1.0,3.0,1.0
variant_4805,1.0,0.0,0.0
variant_4806,1.0,0.0,0.0
variant_4807,6.0,0.0,0.0
variant_4808,6.0,0.0,0.0
variant_4809,8.0,0.0,0.0
variant_4810,1.0,9.0,0.0
variant_4811,8.0,1.0,0.0
variant_4812,7.0,9.0,4.0
variant_4813,8.0,15.0,0.0
variant_4814,1.0,8.0,0.0
variant_4815,11.0,0.0,0.0
variant_4816,1.0,0.0,0.0
variant_4817,4.0,3.0,0.0
variant_4818,1.0,0.0,0.0
variant_4819,1.0,0.0,0.0
variant_4820,1.0,0.0,0.0
variant_4821,6.0,14.0,1.0
variant_4822,5.0,0.0,0.0
variant_4823,3.0,0.0,0.0
variant_4824,14.0,16.0,0.0
variant_4825,2.0,1.0,0.0
variant_4826,3.0,0.0,0.0
variant_4827,2.0,7.0,2.0
variant_4828,1.0,0.0,0.0
variant_4829,1.0,0.0,0.0
variant_4830,11.0,64.0,27.0
variant_4831,1.0,0.0,0.0
variant_4832,1.0,0.0,0.0
variant_4833,9.0,0.0,0.0
variant_4834,6.0,24.0,5.0
variant_4835,10.0,14.0,3.0
variant_4836,1.0,0.0,0.0
variant_4837,9.0,6.0,0.0
variant_4838,2.0,13.0,0.0
variant_4839,1.0,0.0,0.0
variant_4840,5.0,1.0,0.0
variant_4841,6.0,6.0,2.0
variant_4842,8.0,0.0,0.0
variant_4843,2.0,0.0,0.0
variant_4844,2.0,1.0,0.0
variant_4845,1.0,0.0,0.0
variant_4846,1.0,0.0,0.0
variant_4847,1.0,0.0,0.0
variant_4848,4.0,0.0,0.0
variant_4849,6.0,26.0,9.0
variant_4850,1.0,0.0,0.0
variant_4851,8.0,1.0,0.0
variant_4852,10.0,0.0,0.0
variant_4853,1.0,0.0,0.0
variant_4854,8.0,0.0,0.0
variant_4855,1.0,0.0,0.0
variant_4856,1.0,17.0,12.0
variant_4857,1.0,0.0,0.0
variant_4858,6.0,0.0,0.0
variant_4859,1.0,0.0,0.0
variant_4860,11.0,1.0,0.0
variant_4861,1.0,1.0,0.0
variant_4862,7.0,4.0,1.0
variant_4863,9.0,1.0,0.0
variant_4864,2.0,0.0,0.0
variant_4865,7.0,8.0,0.0
variant_4866,2.0,9.0,1.0
variant_4867,16.0,42.0,42.0
variant_4868,3.0,0.0,0.0
variant_4869,1.0,2.0,0.0
variant_4870,8.0,19.0,1.0
variant_4871,16.0,1.0,0.0
variant_4872,5.0,0.0,0.0
variant_4873,1.0,0.0,0.0
variant_4874,1.0,0.0,0.0
variant_4875,1.0,0.0,0.0
variant_4876,1.0,1.0,0.0
variant_4877,1.0,0.0,0.0
variant_4878,4.0,0.0,0.0
variant_4879,8.0,0.0,3.0
variant_4880,1.0,0.0,0.0
variant_4881,1.0,0.0,0.0
variant_4882,19.0,5.0,0.0
variant_4883,6.0,27.0,4.0
variant_4884,1.0,0.0,0.0
variant_4885,10.0,2.0,0.0
variant_4886,3.0,1.0,4.0
variant_4887,4.0,3.0,0.0
variant_4888,7.0,0.0,0.0
variant_4889,13.0,0.0,0.0
variant_4890,13.0,0.0,0.0
variant_4891,6.0,0.0,0.0
variant_4892,8.0,0.0,0.0
variant_4893,1.0,0.0,0.0
variant_4894,3.0,3.0,0.0
variant_4895,1.0,0.0,0.0
variant_4896,1.0,0.0,0.0
variant_4897,1.0,0.0,0.0
variant_4898,6.0,10.0,3.0
variant_4899,1.0,0.0,0.0
variant_4900,1.0,1.0,0.0
variant_4901,4.0,1.0,0.0
variant_4902,10.0,14.0,1.0
variant_4903,1.0,0.0,0.0
variant_4904,1.0,0.0,0.0
variant_4905,3.0,5.0,0.0
variant_4906,3.0,16.0,3.0
variant_4907,11.0,0.0,0.0
variant_4908,4.0,10.0,3.0
variant_4909,3.0,0.0,0.0
variant_4910,1.0,0.0,0.0
variant_4911,4.0,0.0,1.0
variant_4912,1.0,0.0,0.0
variant_4913,1.0,0.0,0.0
variant_4914,17.0,7.0,1.0
variant_4915,1.0,0.0,0.0
variant_4916,4.0,11.0,5.0
variant_4917,10.0,0.0,0.0
variant_4918,5.0,10.0,2.0
variant_4919,3.0,3.0,3.0
variant_4920,1.0,0.0,0.0
variant_4921,2.0,0.0,0.0
variant_4922,11.0,0.0,0.0
variant_4923,1.0,0.0,0.0
variant_4924,1.0,0.0,0.0
variant_4925,4.0,3.0,0.0
variant_4926,1.0,0.0,0.0
variant_4927,6.0,0.0,0.0
variant_4928,1.0,0.0,0.0
variant_4929,4.0,11.0,0.0
variant_4930,6.0,0.0,0.0
variant_4931,3.0,1.0,0.0
variant_4932,1.0,0.0,0.0
variant_4933,1.0,0.0,0.0
variant_4934,4.0,11.0,1.0
variant_4935,8.0,0.0,0.0
variant_4936,9.0,0.0,0.0
variant_4937,3.0,3.0,0.0
