,c_0,c_1,c_2,c_3,c_4,c_5
variant_5028,1922.0,314.0,121.0,175.0,174.0,65.0
variant_5029,11.0,0.0,0.0,0.0,0.0,0.0
variant_5030,467.0,15.0,0.0,0.0,0.0,0.0
variant_5031,2897.0,645.0,385.0,659.0,732.0,306.0
variant_5032,900.0,106.0,25.0,30.0,21.0,7.0
variant_5033,1721.0,253.0,209.0,362.0,316.0,120.0
variant_5034,65.0,3.0,0.0,0.0,0.0,0.0
variant_5035,1742.0,322.0,162.0,335.0,383.0,199.0
variant_5036,130.0,82.0,37.0,100.0,65.0,27.0
variant_5037,1881.0,381.0,190.0,353.0,371.0,242.0
variant_5038,85.0,3.0,0.0,0.0,0.0,0.0
variant_5039,370.0,199.0,103.0,229.0,201.0,86.0
variant_5040,177.0,14.0,1.0,0.0,0.0,0.0
variant_5041,68.0,1.0,0.0,0.0,0.0,0.0
variant_5042,122.0,24.0,0.0,1.0,1.0,0.0
variant_5043,927.0,205.0,120.0,200.0,232.0,108.0
variant_5044,169.0,9.0,9.0,17.0,1.0,0.0
variant_5045,1744.0,372.0,180.0,233.0,228.0,86.0
variant_5046,87.0,1.0,0.0,0.0,0.0,0.0
variant_5047,66.0,0.0,0.0,0.0,0.0,0.0
variant_5048,99.0,2.0,0.0,0.0,0.0,0.0
variant_5049,2954.0,867.0,564.0,1376.0,2356.0,1407.0
variant_5050,2919.0,628.0,294.0,638.0,974.0,566.0
variant_5051,40.0,3.0,0.0,0.0,0.0,0.0
variant_5052,501.0,335.0,253.0,679.0,1100.0,535.0
variant_5053,131.0,10.0,0.0,0.0,0.0,0.0
variant_5054,52.0,0.0,0.0,0.0,0.0,0.0
variant_5055,218.0,154.0,89.0,248.0,410.0,358.0
variant_5056,75.0,1.0,0.0,0.0,0.0,0.0
variant_5057,106.0,9.0,1.0,0.0,0.0,0.0
variant_5058,828.0,90.0,32.0,62.0,90.0,31.0
variant_5059,123.0,0.0,0.0,0.0,0.0,0.0
variant_5060,165.0,2.0,0.0,1.0,0.0,0.0
variant_5061,196.0,41.0,19.0,29.0,28.0,25.0
variant_5062,2537.0,419.0,209.0,516.0,661.0,333.0
variant_5063,57.0,1.0,0.0,0.0,0.0,0.0
variant_5064,18.0,0.0,0.0,0.0,0.0,0.0
variant_5065,112.0,1.0,0.0,0.0,0.0,0.0
variant_5066,1417.0,322.0,216.0,319.0,288.0,134.0
variant_5067,950.0,89.0,22.0,11.0,16.0,1.0
variant_5068,1105.0,200.0,84.0,84.0,65.0,39.0
variant_5069,2686.0,683.0,392.0,539.0,645.0,236.0
variant_5070,337.0,27.0,28.0,23.0,10.0,20.0
variant_5071,30.0,1.0,0.0,0.0,0.0,0.0
variant_5072,65.0,1.0,0.0,0.0,0.0,0.0
variant_5073,271.0,59.0,19.0,28.0,3.0,0.0
variant_5074,393.0,96.0,65.0,168.0,167.0,75.0
variant_5075,1604.0,95.0,31.0,12.0,8.0,4.0
variant_5076,2436.0,83.0,15.0,19.0,16.0,14.0
variant_5077,93.0,17.0,3.0,0.0,0.0,0.0
variant_5078,841.0,32.0,4.0,2.0,6.0,0.0
variant_5079,21.0,0.0,0.0,0.0,0.0,0.0
variant_5080,110.0,15.0,9.0,1.0,0.0,0.0
variant_5081,222.0,21.0,4.0,3.0,0.0,0.0
variant_5082,125.0,1.0,0.0,0.0,0.0,0.0
variant_5083,86.0,7.0,4.0,3.0,2.0,0.0
variant_5084,76.0,2.0,0.0,0.0,0.0,0.0
variant_5085,33.0,0.0,0.0,0.0,0.0,0.0
variant_5086,78.0,2.0,0.0,0.0,0.0,0.0
variant_5087,120.0,2.0,0.0,0.0,0.0,0.0
variant_5088,48.0,0.0,0.0,0.0,0.0,0.0
variant_5089,225.0,21.0,8.0,1.0,0.0,0.0
variant_5090,121.0,5.0,0.0,0.0,0.0,0.0
variant_5091,115.0,3.0,0.0,0.0,0.0,0.0
variant_5092,240.0,28.0,12.0,12.0,6.0,4.0
variant_5093,153.0,24.0,5.0,0.0,3.0,0.0
variant_5094,363.0,27.0,8.0,4.0,4.0,0.0
variant_5095,57.0,0.0,0.0,0.0,0.0,0.0
variant_5096,41.0,0.0,0.0,0.0,0.0,0.0
variant_5097,158.0,9.0,0.0,0.0,0.0,0.0
variant_5098,198.0,13.0,0.0,0.0,0.0,0.0
variant_5099,35.0,1.0,1.0,0.0,0.0,0.0
variant_5100,3221.0,543.0,221.0,402.0,438.0,130.0
variant_5101,159.0,31.0,15.0,14.0,5.0,0.0
variant_5102,1907.0,336.0,125.0,295.0,418.0,201.0
variant_5103,37.0,0.0,0.0,0.0,0.0,0.0
variant_5104,2510.0,849.0,710.0,2133.0,4034.0,2571.0
variant_5105,297.0,41.0,36.0,160.0,293.0,576.0
variant_5106,26.0,0.0,0.0,0.0,0.0,0.0
variant_5107,661.0,25.0,8.0,2.0,3.0,2.0
variant_5108,361.0,33.0,14.0,9.0,1.0,0.0
variant_5109,1221.0,527.0,435.0,909.0,855.0,204.0
variant_5110,117.0,0.0,0.0,2.0,0.0,0.0
variant_5111,704.0,125.0,75.0,147.0,72.0,47.0
variant_5112,98.0,13.0,13.0,4.0,3.0,0.0
variant_5113,752.0,40.0,2.0,14.0,13.0,7.0
variant_5114,347.0,6.0,0.0,0.0,0.0,0.0
variant_5115,1780.0,246.0,85.0,131.0,70.0,16.0
variant_5116,69.0,3.0,0.0,0.0,0.0,0.0
variant_5117,479.0,118.0,22.0,75.0,27.0,9.0
variant_5118,1520.0,204.0,71.0,81.0,59.0,4.0
variant_5119,1090.0,313.0,236.0,371.0,421.0,182.0
variant_5120,228.0,16.0,9.0,9.0,0.0,0.0
variant_5121,67.0,33.0,6.0,11.0,16.0,3.0
variant_5122,631.0,39.0,7.0,16.0,10.0,0.0
variant_5123,1488.0,349.0,172.0,266.0,225.0,91.0
variant_5124,203.0,29.0,4.0,16.0,3.0,6.0
variant_5125,69.0,0.0,3.0,1.0,1.0,4.0
variant_5126,177.0,19.0,15.0,17.0,14.0,1.0
variant_5127,165.0,7.0,0.0,0.0,0.0,0.0
variant_5128,35.0,0.0,0.0,0.0,0.0,0.0
variant_5129,1268.0,334.0,186.0,438.0,667.0,200.0
variant_5130,1555.0,212.0,61.0,120.0,126.0,58.0
variant_5131,321.0,37.0,13.0,9.0,3.0,2.0
variant_5132,906.0,162.0,69.0,108.0,215.0,78.0
variant_5133,1366.0,335.0,193.0,477.0,621.0,345.0
variant_5134,220.0,37.0,35.0,32.0,16.0,9.0
variant_5135,281.0,35.0,5.0,6.0,2.0,5.0
variant_5136,149.0,68.0,26.0,32.0,43.0,8.0
variant_5137,192.0,19.0,5.0,7.0,8.0,3.0
variant_5138,136.0,15.0,7.0,0.0,1.0,0.0
variant_5139,71.0,6.0,9.0,15.0,6.0,7.0
variant_5140,186.0,35.0,27.0,34.0,34.0,21.0
variant_5141,157.0,53.0,23.0,55.0,81.0,18.0
variant_5142,832.0,169.0,116.0,176.0,183.0,66.0
variant_5143,1746.0,294.0,172.0,344.0,440.0,236.0
variant_5144,150.0,9.0,4.0,14.0,3.0,0.0
variant_5145,125.0,7.0,0.0,0.0,0.0,0.0
variant_5146,1.0,0.0,0.0,0.0,0.0,0.0
variant_5147,279.0,63.0,63.0,71.0,139.0,50.0
variant_5148,60.0,2.0,0.0,0.0,0.0,0.0
variant_5149,268.0,43.0,10.0,42.0,20.0,16.0
variant_5150,12.0,0.0,0.0,0.0,0.0,0.0
variant_5151,79.0,0.0,0.0,0.0,0.0,0.0
variant_5152,98.0,1.0,0.0,0.0,0.0,0.0
variant_5153,30.0,0.0,0.0,0.0,0.0,0.0
variant_5154,125.0,11.0,15.0,16.0,19.0,16.0
variant_5155,100.0,1.0,0.0,7.0,1.0,0.0
variant_5156,304.0,29.0,2.0,4.0,6.0,0.0
variant_5157,169.0,18.0,16.0,16.0,20.0,6.0
variant_5158,21.0,0.0,0.0,0.0,0.0,0.0
variant_5159,2147.0,248.0,94.0,152.0,109.0,20.0
variant_5160,226.0,18.0,15.0,20.0,20.0,18.0
variant_5161,103.0,13.0,10.0,6.0,13.0,0.0
variant_5162,97.0,2.0,1.0,0.0,0.0,0.0
variant_5163,318.0,50.0,6.0,4.0,20.0,4.0
variant_5164,210.0,13.0,1.0,0.0,0.0,0.0
variant_5165,149.0,25.0,14.0,2.0,5.0,0.0
variant_5166,286.0,18.0,12.0,9.0,4.0,0.0
variant_5167,426.0,39.0,11.0,16.0,5.0,1.0
variant_5168,122.0,10.0,3.0,11.0,3.0,0.0
variant_5169,143.0,70.0,16.0,25.0,8.0,0.0
variant_5170,57.0,0.0,0.0,0.0,0.0,0.0
variant_5171,101.0,0.0,0.0,0.0,0.0,0.0
variant_5172,480.0,93.0,51.0,77.0,43.0,25.0
variant_5173,50.0,2.0,0.0,0.0,0.0,0.0
variant_5174,181.0,10.0,3.0,5.0,9.0,0.0
variant_5175,295.0,29.0,10.0,22.0,7.0,2.0
variant_5176,362.0,60.0,18.0,11.0,6.0,0.0
variant_5177,79.0,1.0,0.0,0.0,0.0,0.0
variant_5178,62.0,9.0,8.0,13.0,9.0,1.0
variant_5179,36.0,0.0,0.0,0.0,0.0,0.0
variant_5180,210.0,18.0,0.0,0.0,0.0,0.0
variant_5181,974.0,60.0,16.0,32.0,10.0,7.0
variant_5182,112.0,0.0,0.0,0.0,0.0,0.0
variant_5183,45.0,0.0,0.0,0.0,0.0,0.0
variant_5184,432.0,136.0,53.0,120.0,302.0,255.0
variant_5185,741.0,101.0,66.0,107.0,127.0,59.0
variant_5186,43.0,4.0,1.0,0.0,0.0,0.0
variant_5187,284.0,22.0,3.0,4.0,0.0,0.0
variant_5188,57.0,0.0,0.0,0.0,0.0,0.0
variant_5189,112.0,25.0,4.0,17.0,11.0,0.0
variant_5190,76.0,41.0,17.0,58.0,76.0,49.0
variant_5191,325.0,29.0,9.0,7.0,5.0,0.0
variant_5192,134.0,11.0,1.0,7.0,2.0,1.0
variant_5193,240.0,21.0,1.0,0.0,0.0,0.0
variant_5194,75.0,0.0,0.0,0.0,0.0,0.0
variant_5195,79.0,0.0,0.0,0.0,0.0,0.0
variant_5196,97.0,1.0,0.0,0.0,0.0,0.0
variant_5197,1462.0,219.0,190.0,308.0,291.0,164.0
variant_5198,116.0,12.0,0.0,0.0,0.0,0.0
variant_5199,1358.0,149.0,66.0,102.0,106.0,37.0
variant_5200,314.0,56.0,4.0,7.0,12.0,0.0
variant_5201,490.0,116.0,54.0,88.0,95.0,67.0
variant_5202,63.0,3.0,3.0,4.0,0.0,0.0
variant_5203,394.0,19.0,4.0,5.0,14.0,2.0
variant_5204,143.0,6.0,6.0,10.0,10.0,4.0
variant_5205,103.0,35.0,28.0,66.0,50.0,37.0
variant_5206,89.0,11.0,1.0,0.0,0.0,0.0
variant_5207,100.0,3.0,0.0,0.0,0.0,0.0
variant_5208,237.0,33.0,9.0,22.0,19.0,2.0
variant_5209,80.0,0.0,0.0,0.0,0.0,0.0
variant_5210,564.0,32.0,8.0,14.0,26.0,3.0
variant_5211,122.0,1.0,0.0,0.0,0.0,0.0
variant_5212,500.0,80.0,25.0,35.0,28.0,7.0
variant_5213,79.0,2.0,0.0,0.0,0.0,0.0
variant_5214,1358.0,215.0,107.0,219.0,183.0,63.0
variant_5215,84.0,2.0,0.0,0.0,0.0,0.0
variant_5216,53.0,10.0,0.0,26.0,12.0,1.0
variant_5217,202.0,24.0,9.0,6.0,6.0,2.0
variant_5218,299.0,37.0,11.0,6.0,0.0,0.0
variant_5219,40.0,4.0,1.0,0.0,0.0,0.0
variant_5220,19.0,0.0,0.0,0.0,0.0,0.0
variant_5221,72.0,1.0,0.0,0.0,0.0,0.0
variant_5222,337.0,46.0,12.0,19.0,14.0,7.0
variant_5223,101.0,8.0,4.0,2.0,19.0,11.0
variant_5224,2.0,0.0,0.0,0.0,0.0,0.0
variant_5225,777.0,163.0,99.0,197.0,226.0,96.0
variant_5226,845.0,159.0,79.0,114.0,146.0,71.0
variant_5227,97.0,0.0,0.0,0.0,0.0,0.0
variant_5228,107.0,1.0,0.0,0.0,0.0,0.0
variant_5229,603.0,61.0,6.0,0.0,0.0,0.0
variant_5230,1916.0,536.0,382.0,557.0,600.0,230.0
variant_5231,107.0,7.0,0.0,0.0,0.0,0.0
variant_5232,35.0,0.0,0.0,0.0,0.0,0.0
variant_5233,9.0,0.0,0.0,0.0,0.0,0.0
variant_5234,1563.0,182.0,57.0,65.0,46.0,23.0
variant_5235,3973.0,960.0,515.0,863.0,820.0,372.0
variant_5236,34.0,0.0,0.0,0.0,0.0,0.0
variant_5237,138.0,2.0,0.0,0.0,0.0,0.0
variant_5238,177.0,9.0,0.0,0.0,0.0,0.0
variant_5239,145.0,32.0,14.0,13.0,6.0,8.0
variant_5240,346.0,52.0,18.0,26.0,12.0,8.0
variant_5241,880.0,152.0,57.0,105.0,44.0,21.0
variant_5242,524.0,47.0,13.0,13.0,6.0,1.0
variant_5243,172.0,27.0,6.0,4.0,0.0,0.0
variant_5244,528.0,74.0,21.0,29.0,10.0,7.0
variant_5245,28.0,0.0,0.0,0.0,0.0,0.0
variant_5246,141.0,12.0,0.0,0.0,0.0,0.0
variant_5247,232.0,68.0,16.0,3.0,12.0,6.0
variant_5248,353.0,28.0,4.0,0.0,0.0,0.0
variant_5249,218.0,8.0,2.0,0.0,0.0,0.0
variant_5250,1757.0,435.0,249.0,415.0,380.0,129.0
variant_5251,143.0,10.0,0.0,0.0,0.0,0.0
variant_5252,432.0,15.0,3.0,2.0,1.0,2.0
variant_5253,327.0,51.0,15.0,18.0,12.0,6.0
variant_5254,57.0,15.0,0.0,0.0,0.0,0.0
variant_5255,348.0,29.0,11.0,4.0,0.0,0.0
variant_5256,136.0,5.0,0.0,0.0,0.0,0.0
variant_5257,562.0,59.0,51.0,77.0,45.0,13.0
variant_5258,170.0,10.0,0.0,1.0,0.0,0.0
variant_5259,359.0,63.0,78.0,46.0,20.0,7.0
variant_5260,192.0,90.0,58.0,115.0,104.0,50.0
variant_5261,762.0,187.0,129.0,161.0,182.0,74.0
variant_5262,472.0,12.0,4.0,3.0,0.0,0.0
variant_5263,313.0,19.0,7.0,16.0,12.0,0.0
variant_5264,184.0,26.0,4.0,2.0,0.0,0.0
variant_5265,208.0,26.0,5.0,4.0,0.0,0.0
variant_5266,1782.0,418.0,213.0,265.0,346.0,132.0
variant_5267,158.0,3.0,0.0,0.0,0.0,0.0
variant_5268,49.0,0.0,0.0,0.0,0.0,0.0
variant_5269,235.0,7.0,6.0,2.0,5.0,0.0
variant_5270,424.0,59.0,56.0,125.0,150.0,87.0
variant_5271,226.0,11.0,0.0,1.0,1.0,0.0
variant_5272,306.0,37.0,9.0,0.0,0.0,0.0
variant_5273,247.0,128.0,48.0,49.0,47.0,33.0
variant_5274,195.0,8.0,0.0,0.0,0.0,0.0
variant_5275,304.0,14.0,0.0,0.0,0.0,0.0
variant_5276,116.0,2.0,0.0,0.0,0.0,0.0
variant_5277,75.0,0.0,0.0,0.0,0.0,0.0
variant_5278,531.0,11.0,0.0,0.0,0.0,0.0
variant_5279,46.0,0.0,0.0,0.0,0.0,0.0
variant_5280,342.0,25.0,6.0,2.0,1.0,0.0
variant_5281,21.0,0.0,0.0,0.0,0.0,0.0
variant_5282,131.0,19.0,1.0,2.0,6.0,1.0
variant_5283,27.0,0.0,0.0,0.0,0.0,0.0
variant_5284,566.0,64.0,11.0,17.0,11.0,8.0
variant_5285,44.0,0.0,0.0,0.0,0.0,0.0
variant_5286,568.0,94.0,47.0,74.0,53.0,11.0
variant_5287,659.0,141.0,59.0,108.0,164.0,96.0
variant_5288,304.0,97.0,39.0,56.0,55.0,18.0
variant_5289,604.0,93.0,35.0,55.0,74.0,42.0
variant_5290,307.0,18.0,3.0,0.0,0.0,0.0
variant_5291,462.0,135.0,93.0,155.0,250.0,62.0
variant_5292,210.0,6.0,0.0,0.0,0.0,0.0
variant_5293,988.0,76.0,25.0,48.0,41.0,8.0
variant_5294,106.0,0.0,0.0,0.0,0.0,0.0
variant_5295,576.0,210.0,126.0,214.0,200.0,75.0
variant_5296,430.0,130.0,88.0,91.0,120.0,46.0
variant_5297,206.0,35.0,11.0,6.0,0.0,0.0
variant_5298,83.0,1.0,0.0,0.0,0.0,0.0
variant_5299,584.0,157.0,58.0,78.0,79.0,19.0
variant_5300,212.0,5.0,3.0,13.0,2.0,0.0
variant_5301,1349.0,192.0,110.0,369.0,516.0,309.0
variant_5302,559.0,255.0,179.0,323.0,392.0,161.0
variant_5303,191.0,10.0,3.0,6.0,1.0,0.0
variant_5304,51.0,33.0,22.0,51.0,95.0,44.0
variant_5305,76.0,6.0,0.0,0.0,0.0,0.0
variant_5306,410.0,150.0,123.0,222.0,295.0,205.0
variant_5307,20.0,0.0,0.0,0.0,0.0,0.0
variant_5308,278.0,92.0,61.0,152.0,184.0,137.0
variant_5309,1137.0,271.0,180.0,254.0,327.0,112.0
variant_5310,2643.0,701.0,420.0,774.0,968.0,485.0
variant_5311,124.0,42.0,24.0,17.0,31.0,17.0
variant_5312,648.0,250.0,160.0,198.0,169.0,78.0
variant_5313,743.0,217.0,130.0,163.0,215.0,65.0
variant_5314,120.0,14.0,0.0,0.0,0.0,0.0
variant_5315,478.0,118.0,98.0,157.0,161.0,77.0
variant_5316,429.0,32.0,2.0,1.0,0.0,0.0
variant_5317,34.0,18.0,1.0,2.0,4.0,2.0
variant_5318,84.0,3.0,1.0,0.0,0.0,0.0
variant_5319,805.0,35.0,12.0,13.0,5.0,2.0
variant_5320,178.0,12.0,4.0,0.0,2.0,0.0
variant_5321,138.0,7.0,0.0,0.0,0.0,0.0
variant_5322,82.0,1.0,0.0,0.0,0.0,0.0
variant_5323,233.0,62.0,40.0,49.0,25.0,11.0
variant_5324,738.0,236.0,148.0,268.0,434.0,223.0
variant_5325,368.0,80.0,48.0,108.0,130.0,124.0
variant_5326,410.0,111.0,59.0,43.0,26.0,6.0
variant_5327,68.0,1.0,0.0,0.0,0.0,0.0
variant_5328,44.0,1.0,0.0,0.0,0.0,0.0
variant_5329,76.0,0.0,0.0,0.0,0.0,0.0
variant_5330,73.0,1.0,0.0,0.0,0.0,0.0
variant_5331,563.0,145.0,126.0,225.0,337.0,134.0
variant_5332,1.0,0.0,0.0,0.0,0.0,0.0
variant_5333,72.0,5.0,0.0,0.0,1.0,0.0
variant_5334,643.0,31.0,1.0,0.0,0.0,0.0
variant_5335,413.0,37.0,12.0,13.0,8.0,1.0
variant_5336,3490.0,746.0,458.0,842.0,1202.0,694.0
variant_5337,60.0,2.0,0.0,0.0,0.0,0.0
variant_5338,223.0,23.0,10.0,7.0,0.0,0.0
variant_5339,100.0,7.0,1.0,0.0,0.0,0.0
variant_5340,47.0,0.0,0.0,0.0,0.0,0.0
variant_5341,73.0,4.0,11.0,13.0,1.0,0.0
variant_5342,6.0,0.0,0.0,0.0,0.0,0.0
variant_5343,255.0,82.0,38.0,142.0,160.0,67.0
variant_5344,144.0,1.0,3.0,8.0,2.0,0.0
variant_5345,150.0,2.0,0.0,1.0,0.0,0.0
variant_5346,20.0,0.0,0.0,0.0,0.0,0.0
variant_5347,852.0,116.0,41.0,81.0,111.0,45.0
variant_5348,204.0,5.0,0.0,0.0,0.0,0.0
variant_5349,157.0,16.0,2.0,13.0,33.0,8.0
variant_5350,110.0,18.0,6.0,18.0,12.0,0.0
variant_5351,68.0,11.0,0.0,0.0,0.0,0.0
variant_5352,401.0,50.0,23.0,24.0,11.0,16.0
variant_5353,200.0,14.0,1.0,0.0,0.0,0.0
variant_5354,26.0,2.0,0.0,0.0,0.0,0.0
variant_5355,160.0,12.0,0.0,0.0,0.0,0.0
variant_5356,323.0,6.0,1.0,0.0,0.0,0.0
variant_5357,844.0,280.0,160.0,456.0,515.0,257.0
variant_5358,69.0,0.0,0.0,0.0,0.0,0.0
variant_5359,586.0,158.0,80.0,203.0,184.0,80.0
variant_5360,1371.0,317.0,149.0,285.0,237.0,68.0
variant_5361,357.0,52.0,11.0,9.0,9.0,8.0
variant_5362,92.0,8.0,1.0,3.0,2.0,0.0
variant_5363,62.0,6.0,0.0,0.0,0.0,0.0
variant_5364,30.0,1.0,0.0,0.0,0.0,0.0
variant_5365,70.0,0.0,0.0,0.0,0.0,0.0
variant_5366,2497.0,211.0,116.0,265.0,230.0,98.0
variant_5367,804.0,61.0,21.0,10.0,1.0,1.0
variant_5368,264.0,54.0,8.0,0.0,0.0,0.0
variant_5369,12.0,2.0,0.0,0.0,2.0,0.0
variant_5370,2218.0,973.0,740.0,1270.0,1748.0,893.0
variant_5371,212.0,13.0,16.0,35.0,17.0,7.0
variant_5372,1135.0,185.0,82.0,225.0,298.0,150.0
variant_5373,442.0,133.0,55.0,110.0,85.0,15.0
variant_5374,554.0,275.0,155.0,224.0,262.0,97.0
variant_5375,1429.0,279.0,146.0,329.0,419.0,210.0
variant_5376,1605.0,342.0,147.0,318.0,299.0,133.0
variant_5377,225.0,21.0,1.0,0.0,0.0,0.0
variant_5378,51.0,3.0,0.0,0.0,0.0,0.0
variant_5379,1581.0,276.0,107.0,147.0,126.0,86.0
variant_5380,41.0,1.0,0.0,0.0,0.0,0.0
variant_5381,111.0,1.0,0.0,0.0,0.0,0.0
variant_5382,77.0,2.0,0.0,0.0,0.0,0.0
variant_5383,78.0,22.0,2.0,0.0,0.0,0.0
variant_5384,43.0,1.0,0.0,0.0,0.0,0.0
variant_5385,294.0,43.0,18.0,72.0,77.0,30.0
variant_5386,368.0,199.0,163.0,250.0,521.0,282.0
variant_5387,109.0,3.0,0.0,0.0,0.0,0.0
variant_5388,329.0,15.0,12.0,15.0,1.0,1.0
variant_5389,416.0,39.0,3.0,0.0,0.0,0.0
variant_5390,124.0,3.0,0.0,0.0,0.0,0.0
variant_5391,307.0,11.0,10.0,26.0,10.0,0.0
variant_5392,117.0,15.0,4.0,8.0,6.0,1.0
variant_5393,257.0,21.0,1.0,0.0,0.0,0.0
variant_5394,335.0,170.0,137.0,234.0,316.0,112.0
variant_5395,197.0,33.0,3.0,16.0,8.0,1.0
variant_5396,1087.0,230.0,119.0,176.0,190.0,76.0
variant_5397,988.0,204.0,139.0,288.0,384.0,223.0
variant_5398,248.0,25.0,11.0,69.0,31.0,12.0
variant_5399,1044.0,234.0,178.0,321.0,352.0,181.0
variant_5400,162.0,21.0,1.0,4.0,1.0,0.0
variant_5401,255.0,2.0,3.0,4.0,1.0,0.0
variant_5402,625.0,54.0,15.0,6.0,9.0,0.0
variant_5403,72.0,4.0,1.0,7.0,0.0,0.0
variant_5404,19.0,3.0,0.0,0.0,0.0,0.0
variant_5405,1584.0,384.0,280.0,624.0,765.0,479.0
variant_5406,2202.0,354.0,114.0,213.0,235.0,96.0
variant_5407,2566.0,559.0,243.0,386.0,374.0,172.0
variant_5408,147.0,21.0,10.0,5.0,0.0,0.0
variant_5409,717.0,158.0,82.0,136.0,165.0,74.0
variant_5410,718.0,172.0,55.0,130.0,169.0,61.0
variant_5411,199.0,28.0,31.0,30.0,22.0,6.0
variant_5412,42.0,1.0,0.0,0.0,0.0,0.0
variant_5413,115.0,6.0,2.0,22.0,34.0,27.0
variant_5414,95.0,1.0,0.0,0.0,0.0,0.0
variant_5415,143.0,25.0,9.0,12.0,11.0,6.0
variant_5416,1145.0,94.0,44.0,53.0,39.0,3.0
variant_5417,948.0,138.0,60.0,81.0,117.0,60.0
variant_5418,381.0,86.0,48.0,223.0,347.0,171.0
variant_5419,268.0,26.0,5.0,8.0,3.0,3.0
variant_5420,786.0,45.0,7.0,9.0,9.0,11.0
variant_5421,172.0,33.0,20.0,8.0,1.0,0.0
variant_5422,1697.0,378.0,212.0,464.0,470.0,277.0
variant_5423,187.0,9.0,0.0,0.0,0.0,0.0
variant_5424,48.0,0.0,0.0,0.0,0.0,0.0
variant_5425,186.0,42.0,37.0,85.0,116.0,64.0
variant_5426,1701.0,288.0,169.0,307.0,471.0,174.0
variant_5427,665.0,179.0,77.0,189.0,260.0,132.0
variant_5428,198.0,10.0,0.0,0.0,0.0,0.0
variant_5429,273.0,27.0,18.0,30.0,18.0,0.0
variant_5430,127.0,8.0,2.0,2.0,5.0,0.0
variant_5431,310.0,78.0,51.0,77.0,82.0,61.0
variant_5432,1490.0,259.0,128.0,223.0,220.0,109.0
variant_5433,30.0,0.0,0.0,0.0,0.0,0.0
variant_5434,2481.0,660.0,274.0,413.0,612.0,273.0
variant_5435,414.0,23.0,6.0,3.0,5.0,2.0
variant_5436,136.0,30.0,39.0,56.0,46.0,20.0
variant_5437,933.0,135.0,39.0,58.0,93.0,24.0
variant_5438,126.0,3.0,0.0,0.0,0.0,0.0
variant_5439,273.0,28.0,6.0,25.0,17.0,8.0
variant_5440,2658.0,679.0,325.0,774.0,1054.0,518.0
variant_5441,772.0,112.0,47.0,34.0,20.0,16.0
variant_5442,1035.0,168.0,59.0,143.0,157.0,46.0
variant_5443,326.0,44.0,19.0,20.0,11.0,1.0
variant_5444,281.0,47.0,7.0,12.0,13.0,13.0
variant_5445,816.0,144.0,66.0,152.0,156.0,73.0
variant_5446,547.0,264.0,149.0,258.0,384.0,187.0
variant_5447,92.0,9.0,5.0,29.0,19.0,6.0
variant_5448,200.0,4.0,0.0,0.0,0.0,0.0
variant_5449,1729.0,393.0,160.0,265.0,313.0,80.0
variant_5450,34.0,0.0,0.0,0.0,0.0,0.0
variant_5451,41.0,2.0,0.0,0.0,0.0,0.0
variant_5452,147.0,37.0,10.0,28.0,28.0,4.0
variant_5453,2035.0,280.0,53.0,71.0,61.0,24.0
variant_5454,499.0,269.0,135.0,270.0,297.0,97.0
variant_5455,225.0,59.0,33.0,73.0,105.0,18.0
variant_5456,1771.0,370.0,149.0,266.0,319.0,161.0
variant_5457,2185.0,616.0,443.0,907.0,1081.0,481.0
variant_5458,171.0,13.0,8.0,14.0,12.0,5.0
variant_5459,1963.0,428.0,211.0,390.0,492.0,195.0
variant_5460,567.0,118.0,32.0,76.0,91.0,18.0
variant_5461,195.0,79.0,52.0,109.0,109.0,26.0
variant_5462,2619.0,553.0,325.0,523.0,641.0,303.0
variant_5463,302.0,103.0,40.0,41.0,76.0,7.0
variant_5464,327.0,100.0,53.0,120.0,136.0,68.0
variant_5465,10.0,0.0,0.0,0.0,0.0,0.0
variant_5466,64.0,2.0,0.0,0.0,0.0,0.0
variant_5467,2294.0,185.0,28.0,69.0,76.0,30.0
variant_5468,1043.0,50.0,13.0,2.0,0.0,0.0
variant_5469,210.0,14.0,18.0,4.0,0.0,0.0
variant_5470,1577.0,120.0,21.0,20.0,17.0,0.0
variant_5471,164.0,8.0,0.0,0.0,0.0,0.0
variant_5472,41.0,0.0,0.0,0.0,0.0,0.0
variant_5473,250.0,9.0,4.0,0.0,0.0,0.0
variant_5474,142.0,20.0,5.0,0.0,0.0,0.0
variant_5475,21.0,0.0,0.0,0.0,0.0,0.0
variant_5476,160.0,0.0,0.0,0.0,0.0,0.0
variant_5477,66.0,1.0,0.0,0.0,0.0,0.0
variant_5478,367.0,40.0,16.0,17.0,18.0,5.0
variant_5479,42.0,0.0,0.0,0.0,0.0,0.0
variant_5480,2055.0,332.0,134.0,217.0,164.0,79.0
variant_5481,72.0,2.0,0.0,0.0,0.0,0.0
variant_5482,190.0,17.0,1.0,0.0,0.0,0.0
variant_5483,156.0,8.0,1.0,0.0,0.0,0.0
variant_5484,70.0,1.0,0.0,0.0,0.0,0.0
variant_5485,2291.0,562.0,198.0,348.0,458.0,194.0
variant_5486,780.0,127.0,68.0,139.0,82.0,42.0
variant_5487,106.0,45.0,12.0,29.0,14.0,1.0
variant_5488,387.0,39.0,6.0,7.0,3.0,0.0
variant_5489,1861.0,392.0,274.0,602.0,651.0,468.0
variant_5490,28.0,0.0,0.0,0.0,0.0,0.0
