,c_0,c_18,c_37,c_45
variant_5412,742.0,27.0,0.0,0.0
variant_5413,1086.0,36.0,20.0,18.0
variant_5414,584.0,19.0,6.0,0.0
variant_5415,1185.0,76.0,42.0,23.0
variant_5416,1053.0,42.0,15.0,14.0
variant_5417,396.0,30.0,3.0,0.0
variant_5418,1011.0,37.0,17.0,11.0
variant_5419,379.0,26.0,23.0,26.0
variant_5420,1484.0,68.0,43.0,30.0
variant_5421,3424.0,729.0,846.0,696.0
variant_5422,599.0,111.0,125.0,163.0
variant_5423,330.0,44.0,39.0,84.0
variant_5424,604.0,133.0,113.0,96.0
variant_5425,148.0,2.0,2.0,0.0
variant_5426,1244.0,193.0,235.0,114.0
variant_5427,622.0,3.0,0.0,1.0
variant_5428,3304.0,487.0,289.0,208.0
variant_5429,3062.0,175.0,207.0,81.0
variant_5430,965.0,59.0,17.0,22.0
variant_5431,445.0,25.0,22.0,5.0
variant_5432,192.0,37.0,31.0,7.0
variant_5433,1266.0,165.0,58.0,35.0
variant_5434,2283.0,196.0,67.0,44.0
variant_5435,199.0,7.0,7.0,3.0
variant_5436,1786.0,167.0,29.0,14.0
variant_5437,1726.0,76.0,8.0,8.0
variant_5438,2853.0,369.0,240.0,107.0
variant_5439,162.0,1.0,0.0,1.0
variant_5440,1513.0,124.0,38.0,46.0
variant_5441,1110.0,8.0,0.0,0.0
variant_5442,1514.0,21.0,0.0,0.0
variant_5443,3471.0,195.0,105.0,34.0
variant_5444,886.0,78.0,30.0,25.0
variant_5445,1003.0,78.0,16.0,23.0
variant_5446,182.0,21.0,0.0,2.0
variant_5447,431.0,58.0,24.0,0.0
variant_5448,535.0,43.0,6.0,7.0
variant_5449,410.0,29.0,25.0,4.0
variant_5450,1282.0,83.0,14.0,10.0
variant_5451,814.0,53.0,63.0,11.0
variant_5452,562.0,46.0,1.0,0.0
variant_5453,781.0,92.0,25.0,8.0
variant_5454,504.0,57.0,8.0,9.0
variant_5455,37.0,10.0,1.0,7.0
variant_5456,371.0,76.0,39.0,14.0
variant_5457,3517.0,292.0,133.0,124.0
variant_5458,768.0,66.0,47.0,6.0
variant_5459,1338.0,118.0,183.0,105.0
variant_5460,558.0,116.0,57.0,20.0
variant_5461,1060.0,89.0,11.0,22.0
variant_5462,2602.0,178.0,65.0,69.0
variant_5463,5277.0,372.0,208.0,100.0
variant_5464,747.0,45.0,62.0,32.0
variant_5465,3166.0,225.0,100.0,79.0
variant_5466,1260.0,87.0,38.0,25.0
variant_5467,762.0,14.0,1.0,3.0
variant_5468,231.0,27.0,12.0,0.0
variant_5469,1081.0,201.0,246.0,182.0
variant_5470,1354.0,120.0,45.0,28.0
variant_5471,116.0,6.0,3.0,3.0
variant_5472,1445.0,9.0,0.0,0.0
variant_5473,104.0,0.0,0.0,0.0
variant_5474,1290.0,260.0,337.0,179.0
variant_5475,167.0,16.0,25.0,25.0
variant_5476,1286.0,181.0,104.0,72.0
variant_5477,193.0,12.0,0.0,0.0
variant_5478,5904.0,834.0,868.0,681.0
variant_5479,74.0,0.0,0.0,0.0
variant_5480,188.0,8.0,0.0,12.0
variant_5481,150.0,7.0,2.0,14.0
variant_5482,137.0,17.0,7.0,2.0
variant_5483,564.0,92.0,123.0,103.0
variant_5484,343.0,14.0,0.0,2.0
variant_5485,230.0,50.0,18.0,3.0
variant_5486,29.0,0.0,0.0,2.0
variant_5487,291.0,45.0,109.0,30.0
variant_5488,110.0,4.0,1.0,7.0
variant_5489,404.0,37.0,20.0,10.0
variant_5490,435.0,20.0,25.0,2.0
variant_5491,1201.0,209.0,273.0,269.0
variant_5492,233.0,15.0,0.0,1.0
variant_5493,36.0,3.0,5.0,0.0
variant_5494,289.0,115.0,246.0,121.0
variant_5495,725.0,127.0,287.0,206.0
variant_5496,650.0,32.0,1.0,2.0
variant_5497,322.0,25.0,9.0,2.0
variant_5498,209.0,9.0,16.0,16.0
variant_5499,171.0,17.0,15.0,0.0
variant_5500,572.0,70.0,96.0,26.0
variant_5501,515.0,29.0,15.0,45.0
variant_5502,6967.0,1498.0,1899.0,1404.0
variant_5503,746.0,85.0,170.0,178.0
variant_5504,8324.0,1297.0,1417.0,1300.0
variant_5505,177.0,28.0,18.0,1.0
variant_5506,699.0,143.0,267.0,188.0
variant_5507,496.0,80.0,154.0,192.0
variant_5508,478.0,60.0,47.0,116.0
variant_5509,223.0,85.0,75.0,79.0
variant_5510,577.0,55.0,31.0,15.0
variant_5511,144.0,2.0,3.0,3.0
variant_5512,732.0,2.0,0.0,0.0
variant_5513,428.0,90.0,91.0,68.0
variant_5514,250.0,22.0,19.0,20.0
variant_5515,488.0,46.0,82.0,68.0
variant_5516,171.0,15.0,0.0,9.0
variant_5517,684.0,147.0,127.0,139.0
variant_5518,619.0,79.0,126.0,79.0
variant_5519,228.0,49.0,124.0,34.0
variant_5520,182.0,8.0,13.0,0.0
variant_5521,921.0,244.0,273.0,224.0
variant_5522,568.0,27.0,18.0,24.0
variant_5523,636.0,67.0,60.0,54.0
variant_5524,472.0,169.0,74.0,82.0
variant_5525,737.0,165.0,228.0,174.0
variant_5526,130.0,2.0,21.0,3.0
variant_5527,843.0,199.0,163.0,209.0
variant_5528,491.0,127.0,129.0,66.0
variant_5529,1171.0,53.0,15.0,18.0
variant_5530,661.0,22.0,8.0,0.0
variant_5531,199.0,34.0,113.0,170.0
variant_5532,245.0,22.0,6.0,3.0
variant_5533,482.0,56.0,85.0,71.0
variant_5534,127.0,5.0,2.0,0.0
variant_5535,290.0,54.0,41.0,40.0
variant_5536,436.0,101.0,209.0,168.0
variant_5537,191.0,23.0,23.0,8.0
variant_5538,550.0,128.0,136.0,75.0
variant_5539,266.0,9.0,5.0,8.0
variant_5540,539.0,92.0,95.0,45.0
variant_5541,2175.0,268.0,424.0,362.0
variant_5542,1741.0,244.0,251.0,290.0
variant_5543,1731.0,192.0,265.0,109.0
variant_5544,248.0,22.0,8.0,12.0
variant_5545,382.0,49.0,76.0,48.0
variant_5546,178.0,8.0,0.0,2.0
variant_5547,506.0,126.0,139.0,203.0
variant_5548,1884.0,512.0,802.0,519.0
variant_5549,243.0,62.0,88.0,72.0
variant_5550,31.0,9.0,5.0,0.0
variant_5551,286.0,29.0,14.0,15.0
variant_5552,196.0,35.0,6.0,7.0
variant_5553,114.0,50.0,36.0,56.0
variant_5554,291.0,61.0,25.0,7.0
variant_5555,624.0,149.0,144.0,187.0
variant_5556,4016.0,672.0,798.0,756.0
variant_5557,246.0,45.0,102.0,50.0
variant_5558,1095.0,176.0,110.0,120.0
variant_5559,75.0,8.0,9.0,33.0
variant_5560,277.0,94.0,175.0,168.0
variant_5561,1680.0,247.0,368.0,305.0
variant_5562,2094.0,364.0,607.0,481.0
variant_5563,64.0,4.0,0.0,0.0
variant_5564,214.0,23.0,4.0,9.0
variant_5565,1869.0,231.0,265.0,319.0
variant_5566,995.0,231.0,539.0,407.0
variant_5567,656.0,172.0,309.0,274.0
variant_5568,311.0,92.0,150.0,142.0
variant_5569,366.0,60.0,110.0,96.0
variant_5570,634.0,48.0,17.0,17.0
variant_5571,1566.0,238.0,505.0,435.0
variant_5572,107.0,3.0,30.0,11.0
variant_5573,530.0,69.0,200.0,179.0
variant_5574,299.0,25.0,33.0,12.0
variant_5575,652.0,0.0,0.0,0.0
variant_5576,1587.0,6.0,0.0,0.0
variant_5577,165.0,11.0,0.0,5.0
variant_5578,282.0,0.0,0.0,0.0
variant_5579,498.0,183.0,227.0,208.0
variant_5580,145.0,22.0,24.0,0.0
variant_5581,151.0,2.0,3.0,1.0
variant_5582,1472.0,299.0,333.0,295.0
variant_5583,258.0,28.0,5.0,12.0
variant_5584,656.0,63.0,41.0,38.0
variant_5585,177.0,19.0,14.0,5.0
variant_5586,216.0,14.0,9.0,6.0
variant_5587,3934.0,595.0,589.0,510.0
variant_5588,457.0,94.0,138.0,91.0
variant_5589,218.0,11.0,2.0,2.0
variant_5590,1418.0,190.0,341.0,191.0
variant_5591,297.0,19.0,2.0,5.0
variant_5592,2755.0,636.0,711.0,774.0
variant_5593,553.0,157.0,123.0,194.0
variant_5594,1352.0,233.0,258.0,237.0
variant_5595,423.0,115.0,120.0,101.0
variant_5596,154.0,28.0,21.0,6.0
variant_5597,1010.0,212.0,517.0,374.0
variant_5598,555.0,52.0,48.0,57.0
variant_5599,728.0,326.0,1060.0,1040.0
variant_5600,681.0,162.0,215.0,289.0
variant_5601,991.0,100.0,61.0,39.0
variant_5602,4705.0,636.0,721.0,631.0
variant_5603,163.0,24.0,15.0,32.0
variant_5604,333.0,94.0,59.0,59.0
variant_5605,84.0,38.0,3.0,4.0
variant_5606,220.0,13.0,34.0,25.0
variant_5607,308.0,74.0,158.0,114.0
variant_5608,135.0,28.0,23.0,17.0
variant_5609,1157.0,188.0,192.0,181.0
variant_5610,549.0,117.0,140.0,25.0
variant_5611,460.0,70.0,68.0,137.0
variant_5612,59.0,0.0,0.0,0.0
variant_5613,486.0,90.0,242.0,210.0
variant_5614,22.0,11.0,21.0,3.0
variant_5615,616.0,120.0,328.0,211.0
variant_5616,288.0,20.0,0.0,5.0
variant_5617,912.0,176.0,440.0,470.0
variant_5618,567.0,36.0,10.0,20.0
variant_5619,39.0,2.0,13.0,0.0
variant_5620,42.0,0.0,2.0,3.0
variant_5621,168.0,42.0,0.0,6.0
variant_5622,678.0,145.0,138.0,177.0
variant_5623,48.0,14.0,15.0,2.0
variant_5624,918.0,214.0,275.0,235.0
variant_5625,1209.0,322.0,784.0,1039.0
variant_5626,99.0,34.0,3.0,1.0
variant_5627,208.0,67.0,48.0,29.0
variant_5628,706.0,97.0,191.0,101.0
variant_5629,982.0,121.0,253.0,180.0
variant_5630,600.0,118.0,131.0,54.0
variant_5631,236.0,33.0,8.0,14.0
variant_5632,612.0,124.0,105.0,187.0
variant_5633,934.0,159.0,131.0,113.0
variant_5634,190.0,27.0,39.0,24.0
variant_5635,914.0,35.0,30.0,5.0
variant_5636,329.0,53.0,154.0,109.0
variant_5637,200.0,20.0,33.0,27.0
variant_5638,1224.0,161.0,204.0,186.0
variant_5639,428.0,38.0,48.0,27.0
variant_5640,46.0,4.0,0.0,0.0
variant_5641,200.0,3.0,0.0,0.0
variant_5642,648.0,73.0,116.0,71.0
variant_5643,500.0,70.0,48.0,36.0
variant_5644,614.0,114.0,92.0,94.0
variant_5645,223.0,22.0,10.0,11.0
variant_5646,104.0,9.0,1.0,0.0
variant_5647,143.0,7.0,10.0,3.0
variant_5648,249.0,13.0,0.0,5.0
variant_5649,417.0,88.0,104.0,45.0
variant_5650,474.0,28.0,65.0,0.0
variant_5651,719.0,123.0,79.0,98.0
variant_5652,217.0,8.0,0.0,0.0
variant_5653,362.0,43.0,45.0,62.0
variant_5654,24.0,0.0,0.0,0.0
variant_5655,886.0,117.0,134.0,157.0
variant_5656,163.0,14.0,8.0,1.0
variant_5657,1867.0,358.0,484.0,316.0
variant_5658,2053.0,287.0,360.0,301.0
variant_5659,1883.0,307.0,295.0,237.0
variant_5660,722.0,195.0,131.0,157.0
variant_5661,60.0,16.0,0.0,0.0
variant_5662,614.0,54.0,13.0,35.0
variant_5663,245.0,13.0,11.0,1.0
variant_5664,1302.0,158.0,288.0,270.0
variant_5665,352.0,22.0,38.0,15.0
variant_5666,796.0,72.0,120.0,125.0
variant_5667,238.0,13.0,0.0,3.0
variant_5668,193.0,0.0,19.0,13.0
variant_5669,1172.0,134.0,286.0,242.0
variant_5670,272.0,46.0,5.0,0.0
variant_5671,408.0,41.0,9.0,9.0
variant_5672,107.0,8.0,0.0,2.0
variant_5673,2308.0,345.0,398.0,274.0
variant_5674,242.0,9.0,4.0,10.0
variant_5675,917.0,188.0,176.0,120.0
variant_5676,658.0,59.0,119.0,100.0
variant_5677,304.0,19.0,20.0,16.0
variant_5678,790.0,231.0,258.0,281.0
variant_5679,1005.0,140.0,68.0,37.0
variant_5680,577.0,40.0,12.0,17.0
variant_5681,199.0,31.0,15.0,3.0
variant_5682,2181.0,229.0,384.0,255.0
variant_5683,3754.0,652.0,906.0,684.0
variant_5684,212.0,52.0,15.0,37.0
variant_5685,49.0,3.0,20.0,11.0
variant_5686,1391.0,231.0,261.0,183.0
variant_5687,2346.0,251.0,235.0,194.0
variant_5688,2591.0,505.0,724.0,683.0
variant_5689,1139.0,224.0,268.0,364.0
variant_5690,671.0,172.0,319.0,190.0
variant_5691,8.0,6.0,9.0,14.0
variant_5692,1970.0,383.0,662.0,409.0
variant_5693,151.0,7.0,4.0,2.0
variant_5694,111.0,20.0,0.0,1.0
variant_5695,994.0,133.0,173.0,132.0
variant_5696,1163.0,206.0,415.0,177.0
variant_5697,862.0,115.0,144.0,110.0
variant_5698,1059.0,162.0,177.0,231.0
variant_5699,384.0,102.0,185.0,213.0
variant_5700,31.0,0.0,6.0,0.0
variant_5701,608.0,111.0,120.0,90.0
variant_5702,1749.0,355.0,438.0,448.0
variant_5703,400.0,68.0,153.0,133.0
variant_5704,2724.0,530.0,690.0,670.0
variant_5705,406.0,41.0,80.0,65.0
variant_5706,400.0,37.0,51.0,74.0
variant_5707,842.0,264.0,775.0,956.0
variant_5708,48.0,5.0,0.0,0.0
variant_5709,517.0,2.0,0.0,0.0
variant_5710,392.0,7.0,0.0,0.0
variant_5711,381.0,52.0,33.0,22.0
variant_5712,12710.0,2277.0,3747.0,2769.0
variant_5713,546.0,5.0,0.0,0.0
variant_5714,57.0,17.0,18.0,0.0
variant_5715,456.0,9.0,0.0,0.0
variant_5716,681.0,161.0,180.0,126.0
variant_5717,815.0,109.0,79.0,74.0
variant_5718,2569.0,550.0,981.0,991.0
variant_5719,311.0,52.0,11.0,8.0
variant_5720,190.0,38.0,41.0,18.0
variant_5721,238.0,2.0,1.0,1.0
variant_5722,140.0,13.0,36.0,32.0
variant_5723,122.0,21.0,34.0,8.0
variant_5724,654.0,84.0,78.0,4.0
variant_5725,590.0,113.0,19.0,20.0
variant_5726,35.0,2.0,0.0,0.0
variant_5727,12.0,0.0,0.0,0.0
variant_5728,604.0,165.0,259.0,142.0
variant_5729,32.0,0.0,40.0,20.0
variant_5730,1357.0,260.0,495.0,329.0
variant_5731,1644.0,315.0,291.0,304.0
variant_5732,132.0,8.0,6.0,0.0
variant_5733,56.0,14.0,16.0,0.0
variant_5734,340.0,57.0,52.0,31.0
variant_5735,1924.0,351.0,607.0,591.0
variant_5736,76.0,11.0,3.0,0.0
variant_5737,481.0,184.0,209.0,113.0
variant_5738,2170.0,287.0,347.0,318.0
variant_5739,1976.0,350.0,456.0,359.0
variant_5740,1830.0,272.0,285.0,232.0
variant_5741,810.0,123.0,103.0,135.0
variant_5742,260.0,10.0,3.0,3.0
variant_5743,5.0,15.0,0.0,0.0
variant_5744,929.0,175.0,148.0,34.0
variant_5745,837.0,182.0,253.0,212.0
variant_5746,220.0,20.0,0.0,0.0
variant_5747,1021.0,170.0,172.0,304.0
variant_5748,29.0,13.0,0.0,0.0
variant_5749,963.0,110.0,78.0,75.0
variant_5750,384.0,153.0,229.0,195.0
variant_5751,1038.0,221.0,324.0,409.0
variant_5752,1912.0,333.0,286.0,297.0
variant_5753,3182.0,590.0,552.0,659.0
variant_5754,259.0,49.0,24.0,0.0
variant_5755,472.0,138.0,125.0,136.0
variant_5756,423.0,44.0,77.0,77.0
variant_5757,624.0,85.0,82.0,107.0
variant_5758,1170.0,265.0,341.0,259.0
variant_5759,281.0,40.0,0.0,1.0
variant_5760,324.0,53.0,75.0,8.0
variant_5761,611.0,161.0,279.0,240.0
variant_5762,458.0,26.0,28.0,21.0
variant_5763,1355.0,79.0,133.0,51.0
variant_5764,463.0,48.0,16.0,1.0
variant_5765,214.0,31.0,8.0,0.0
variant_5766,1317.0,195.0,158.0,153.0
variant_5767,1629.0,240.0,248.0,112.0
variant_5768,2168.0,264.0,245.0,213.0
variant_5769,510.0,70.0,17.0,16.0
variant_5770,718.0,214.0,478.0,603.0
variant_5771,227.0,26.0,29.0,21.0
variant_5772,148.0,7.0,0.0,14.0
variant_5773,542.0,64.0,125.0,179.0
variant_5774,37.0,0.0,0.0,5.0
variant_5775,306.0,20.0,2.0,9.0
variant_5776,4213.0,604.0,743.0,604.0
variant_5777,2614.0,402.0,386.0,442.0
variant_5778,355.0,34.0,87.0,69.0
variant_5779,119.0,15.0,0.0,3.0
variant_5780,121.0,8.0,0.0,0.0
variant_5781,3665.0,575.0,534.0,444.0
variant_5782,359.0,0.0,0.0,0.0
variant_5783,1256.0,144.0,113.0,157.0
variant_5784,836.0,146.0,238.0,208.0
variant_5785,169.0,18.0,6.0,0.0
variant_5786,104.0,16.0,0.0,3.0
variant_5787,1062.0,157.0,252.0,218.0
variant_5788,2629.0,508.0,783.0,659.0
variant_5789,278.0,28.0,37.0,34.0
variant_5790,243.0,18.0,103.0,31.0
variant_5791,252.0,77.0,114.0,76.0
variant_5792,694.0,65.0,118.0,106.0
variant_5793,814.0,136.0,201.0,144.0
variant_5794,1030.0,255.0,281.0,269.0
variant_5795,160.0,20.0,23.0,38.0
variant_5796,4286.0,772.0,816.0,725.0
variant_5797,258.0,73.0,35.0,3.0
variant_5798,70.0,0.0,0.0,0.0
variant_5799,102.0,4.0,0.0,2.0
variant_5800,348.0,60.0,125.0,125.0
variant_5801,2272.0,454.0,445.0,369.0
variant_5802,5.0,0.0,0.0,0.0
variant_5803,846.0,129.0,134.0,145.0
variant_5804,3499.0,687.0,799.0,638.0
variant_5805,1171.0,133.0,182.0,113.0
variant_5806,2427.0,558.0,726.0,659.0
variant_5807,2539.0,443.0,556.0,502.0
variant_5808,1233.0,150.0,293.0,246.0
variant_5809,723.0,179.0,238.0,178.0
variant_5810,690.0,117.0,122.0,70.0
variant_5811,330.0,11.0,1.0,0.0
variant_5812,92.0,6.0,0.0,0.0
variant_5813,46.0,20.0,0.0,0.0
variant_5814,1442.0,294.0,417.0,317.0
variant_5815,104.0,6.0,0.0,2.0
variant_5816,315.0,91.0,77.0,46.0
variant_5817,113.0,38.0,45.0,54.0
variant_5818,889.0,111.0,148.0,138.0
variant_5819,9074.0,1205.0,1484.0,1138.0
variant_5820,1613.0,308.0,272.0,280.0
variant_5821,655.0,80.0,80.0,73.0
variant_5822,412.0,13.0,6.0,3.0
variant_5823,391.0,71.0,60.0,53.0
variant_5824,610.0,11.0,0.0,0.0
variant_5825,2398.0,455.0,387.0,345.0
variant_5826,503.0,162.0,167.0,176.0
variant_5827,5247.0,864.0,1083.0,754.0
variant_5828,607.0,88.0,88.0,112.0
variant_5829,984.0,82.0,63.0,55.0
variant_5830,2659.0,336.0,336.0,360.0
variant_5831,605.0,70.0,29.0,19.0
variant_5832,426.0,45.0,38.0,12.0
variant_5833,1448.0,373.0,610.0,414.0
variant_5834,242.0,30.0,0.0,7.0
variant_5835,101.0,25.0,15.0,3.0
variant_5836,1982.0,17.0,4.0,0.0
variant_5837,2883.0,47.0,8.0,11.0
variant_5838,207.0,0.0,0.0,0.0
variant_5839,458.0,4.0,0.0,0.0
variant_5840,159.0,0.0,0.0,0.0
variant_5841,93.0,7.0,0.0,0.0
variant_5842,1316.0,20.0,7.0,0.0
variant_5843,21.0,0.0,0.0,0.0
variant_5844,365.0,0.0,0.0,0.0
variant_5845,2018.0,414.0,436.0,347.0
variant_5846,871.0,106.0,101.0,75.0
variant_5847,801.0,82.0,101.0,97.0
variant_5848,2579.0,397.0,426.0,363.0
variant_5849,247.0,48.0,1.0,9.0
variant_5850,1579.0,211.0,256.0,185.0
variant_5851,469.0,39.0,30.0,42.0
variant_5852,90.0,7.0,3.0,0.0
variant_5853,386.0,38.0,10.0,6.0
variant_5854,2260.0,247.0,277.0,161.0
variant_5855,114.0,11.0,0.0,4.0
variant_5856,2497.0,411.0,469.0,371.0
variant_5857,1605.0,402.0,387.0,330.0
variant_5858,190.0,12.0,19.0,1.0
variant_5859,11.0,0.0,0.0,0.0
variant_5860,330.0,2.0,0.0,0.0
variant_5861,276.0,42.0,71.0,53.0
variant_5862,51.0,10.0,0.0,2.0
variant_5863,15073.0,2234.0,2515.0,2232.0
variant_5864,1768.0,103.0,25.0,20.0
variant_5865,394.0,5.0,0.0,1.0
variant_5866,865.0,291.0,351.0,290.0
variant_5867,291.0,55.0,27.0,10.0
variant_5868,110.0,16.0,8.0,4.0
variant_5869,6.0,7.0,0.0,5.0
variant_5870,166.0,8.0,0.0,0.0
variant_5871,1926.0,338.0,360.0,306.0
variant_5872,2221.0,285.0,304.0,284.0
variant_5873,103.0,11.0,0.0,4.0
variant_5874,421.0,3.0,10.0,6.0
variant_5875,455.0,38.0,4.0,2.0
variant_5876,413.0,34.0,5.0,5.0
variant_5877,414.0,28.0,80.0,84.0
variant_5878,479.0,154.0,166.0,65.0
variant_5879,679.0,54.0,46.0,30.0
variant_5880,105.0,0.0,0.0,0.0
variant_5881,169.0,4.0,0.0,6.0
variant_5882,660.0,232.0,265.0,187.0
variant_5883,372.0,49.0,97.0,93.0
variant_5884,41.0,6.0,8.0,0.0
variant_5885,717.0,132.0,213.0,215.0
variant_5886,593.0,60.0,19.0,4.0
variant_5887,526.0,23.0,19.0,10.0
variant_5888,285.0,42.0,15.0,0.0
variant_5889,215.0,5.0,14.0,1.0
variant_5890,130.0,6.0,0.0,7.0
variant_5891,135.0,31.0,24.0,8.0
variant_5892,467.0,100.0,124.0,113.0
variant_5893,1143.0,303.0,335.0,198.0
variant_5894,1116.0,291.0,538.0,401.0
variant_5895,628.0,135.0,286.0,186.0
variant_5896,4717.0,889.0,997.0,835.0
variant_5897,29.0,5.0,0.0,0.0
variant_5898,672.0,44.0,22.0,18.0
variant_5899,3174.0,573.0,545.0,419.0
variant_5900,35.0,7.0,5.0,0.0
variant_5901,4192.0,824.0,1197.0,899.0
variant_5902,95.0,15.0,0.0,0.0
variant_5903,239.0,17.0,0.0,0.0
variant_5904,424.0,84.0,173.0,123.0
variant_5905,1192.0,169.0,62.0,27.0
variant_5906,1046.0,132.0,161.0,130.0
variant_5907,1278.0,170.0,184.0,154.0
variant_5908,679.0,99.0,208.0,88.0
variant_5909,244.0,83.0,76.0,88.0
variant_5910,301.0,30.0,26.0,14.0
variant_5911,1274.0,194.0,364.0,254.0
variant_5912,953.0,145.0,152.0,115.0
variant_5913,421.0,0.0,0.0,0.0
variant_5914,728.0,76.0,62.0,55.0
variant_5915,93.0,21.0,12.0,0.0
variant_5916,1643.0,363.0,302.0,287.0
variant_5917,35.0,0.0,0.0,0.0
variant_5918,730.0,88.0,37.0,20.0
variant_5919,189.0,20.0,3.0,0.0
variant_5920,527.0,62.0,63.0,3.0
variant_5921,1120.0,206.0,382.0,288.0
variant_5922,129.0,17.0,0.0,0.0
variant_5923,1804.0,307.0,572.0,313.0
variant_5924,738.0,106.0,137.0,171.0
variant_5925,946.0,82.0,97.0,81.0
variant_5926,414.0,50.0,97.0,67.0
variant_5927,99.0,5.0,5.0,4.0
variant_5928,459.0,70.0,77.0,85.0
variant_5929,151.0,15.0,75.0,40.0
variant_5930,5558.0,923.0,913.0,718.0
variant_5931,121.0,12.0,0.0,0.0
variant_5932,855.0,211.0,278.0,207.0
variant_5933,3205.0,420.0,449.0,335.0
variant_5934,236.0,56.0,54.0,70.0
variant_5935,545.0,97.0,157.0,114.0
variant_5936,206.0,46.0,49.0,31.0
variant_5937,534.0,67.0,101.0,28.0
variant_5938,3587.0,407.0,370.0,313.0
variant_5939,1420.0,61.0,48.0,48.0
variant_5940,64.0,5.0,0.0,0.0
variant_5941,406.0,85.0,82.0,90.0
variant_5942,30.0,0.0,0.0,0.0
variant_5943,167.0,16.0,30.0,21.0
variant_5944,239.0,52.0,61.0,66.0
variant_5945,1007.0,119.0,159.0,90.0
variant_5946,307.0,65.0,34.0,71.0
variant_5947,360.0,49.0,9.0,33.0
variant_5948,2742.0,370.0,527.0,415.0
variant_5949,1445.0,332.0,636.0,508.0
variant_5950,941.0,111.0,179.0,147.0
variant_5951,160.0,36.0,0.0,0.0
variant_5952,100.0,2.0,1.0,5.0
variant_5953,127.0,19.0,1.0,0.0
variant_5954,176.0,15.0,2.0,13.0
variant_5955,57.0,12.0,4.0,30.0
variant_5956,1237.0,244.0,459.0,309.0
variant_5957,3476.0,804.0,980.0,641.0
variant_5958,1083.0,175.0,227.0,210.0
variant_5959,737.0,40.0,49.0,16.0
variant_5960,159.0,25.0,12.0,3.0
variant_5961,310.0,75.0,121.0,105.0
variant_5962,637.0,115.0,114.0,155.0
variant_5963,236.0,20.0,10.0,21.0
variant_5964,1088.0,140.0,77.0,89.0
variant_5965,180.0,16.0,1.0,18.0
variant_5966,254.0,21.0,6.0,10.0
variant_5967,656.0,141.0,117.0,45.0
variant_5968,824.0,69.0,68.0,62.0
variant_5969,157.0,19.0,0.0,3.0
variant_5970,4296.0,594.0,749.0,626.0
variant_5971,1418.0,224.0,177.0,165.0
variant_5972,289.0,21.0,10.0,4.0
variant_5973,35.0,3.0,0.0,6.0
variant_5974,67.0,14.0,17.0,4.0
variant_5975,1141.0,228.0,212.0,226.0
variant_5976,1076.0,191.0,214.0,279.0
variant_5977,482.0,8.0,10.0,0.0
variant_5978,173.0,3.0,0.0,0.0
variant_5979,1214.0,161.0,122.0,167.0
variant_5980,3037.0,581.0,599.0,678.0
variant_5981,53.0,3.0,0.0,0.0
variant_5982,753.0,112.0,159.0,108.0
variant_5983,203.0,28.0,96.0,108.0
variant_5984,45.0,8.0,29.0,27.0
variant_5985,445.0,5.0,0.0,0.0
variant_5986,404.0,80.0,101.0,82.0
variant_5987,18.0,3.0,0.0,0.0
variant_5988,4231.0,640.0,609.0,558.0
variant_5989,6.0,0.0,0.0,0.0
variant_5990,53.0,0.0,5.0,7.0
variant_5991,87.0,3.0,1.0,0.0
variant_5992,828.0,133.0,165.0,274.0
variant_5993,5037.0,897.0,1653.0,1154.0
variant_5994,132.0,8.0,6.0,4.0
variant_5995,1683.0,199.0,41.0,23.0
variant_5996,202.0,14.0,20.0,8.0
variant_5997,99.0,2.0,0.0,21.0
variant_5998,232.0,18.0,12.0,9.0
variant_5999,166.0,4.0,5.0,3.0
variant_6000,180.0,6.0,9.0,11.0
variant_6001,177.0,34.0,3.0,5.0
variant_6002,169.0,30.0,42.0,5.0
variant_6003,220.0,53.0,0.0,7.0
variant_6004,144.0,11.0,12.0,4.0
variant_6005,659.0,145.0,120.0,81.0
variant_6006,843.0,230.0,323.0,269.0
variant_6007,14.0,0.0,0.0,0.0
variant_6008,1847.0,368.0,276.0,325.0
variant_6009,77.0,5.0,0.0,2.0
variant_6010,483.0,44.0,16.0,8.0
variant_6011,3534.0,598.0,395.0,434.0
variant_6012,1497.0,215.0,472.0,224.0
variant_6013,430.0,62.0,19.0,11.0
variant_6014,1563.0,215.0,284.0,96.0
variant_6015,827.0,2.0,0.0,0.0
variant_6016,855.0,85.0,63.0,98.0
variant_6017,356.0,4.0,0.0,0.0
variant_6018,364.0,0.0,9.0,0.0
variant_6019,72.0,0.0,0.0,0.0
variant_6020,167.0,0.0,0.0,0.0
variant_6021,956.0,4.0,0.0,0.0
variant_6022,24.0,0.0,0.0,0.0
variant_6023,137.0,0.0,0.0,0.0
variant_6024,242.0,0.0,0.0,0.0
variant_6025,393.0,0.0,0.0,0.0
variant_6026,2045.0,101.0,154.0,108.0
variant_6027,81.0,1.0,0.0,0.0
variant_6028,1779.0,6.0,4.0,0.0
variant_6029,742.0,15.0,0.0,6.0
variant_6030,168.0,0.0,0.0,0.0
variant_6031,1711.0,26.0,10.0,8.0
variant_6032,15.0,0.0,0.0,0.0
variant_6033,350.0,5.0,0.0,0.0
variant_6034,3248.0,467.0,579.0,392.0
variant_6035,285.0,84.0,38.0,73.0
variant_6036,260.0,56.0,5.0,6.0
variant_6037,434.0,39.0,50.0,82.0
variant_6038,790.0,112.0,118.0,82.0
