,T0PV,T1,T2,T3,T4,T5
variant_762,62956,11367,949,38,24,3
variant_763,1763,0,1,1,1,0
variant_764,2203,1,2,1,1,0
variant_765,1574,1,2,2,1,0
variant_766,1119,0,3,2,0,0
variant_767,4009,1,9,4,0,2
variant_768,1416,0,0,3,3,0
variant_769,14664,2,89,14,8,1
variant_770,5472,3,2,7,2,1
variant_771,4895,3,70,5,1,0
variant_772,9535,2167,1159,402,2,0
variant_773,3503,0,2,4,0,0
variant_774,2582,0,6,1,0,1
variant_775,2325,1,0,5,1,0
variant_776,77385,20109,5465,1469,24,6
variant_777,24404,6141,835,3713,39,4
variant_778,49891,2295,2254,1247,16,8
variant_779,8856,1,4,10,1,2
variant_780,1931,0,0,3,0,0
variant_781,1299,152,69,49,5,9
variant_782,1468,0,0,0,2,1
variant_783,19939,4,987,434,4,4
variant_784,7225,2,246,4,3,0
variant_785,1239,0,1,2,1,0
variant_786,1238,0,65,0,0,0
variant_787,1235,0,341,1,0,0
variant_788,1308,0,0,1,0,1
variant_789,1470,0,0,3,0,1
variant_790,2598,1247,2,1,1,0
variant_791,42290,7486,2178,1378,14,11
variant_792,35906,9849,2798,4537,25,5
variant_793,1029,12116,177,6,1,1
variant_794,17791,2809,60,15,4,4
variant_795,9245,2,18,7,6,1
variant_796,5604,2396,8,10,1,1
variant_797,2944,1,7,4,1,0
variant_798,4666,2,197,4,0,1
variant_799,584,109,167,133,46,13
variant_800,461,1407,33,0,0,0
variant_801,13056,2131,297,13,2,2
variant_802,30330,97220,88154,437479,142837,69388
variant_803,288,348,802,9913,34834,24321
variant_804,83,235,379,2153,649,503
variant_805,8,30,69,3449,43,20
variant_806,15,38,174,2820,63,128
variant_807,33,104,125,1970,156,72
variant_808,19,52,53,1737,106,27
variant_809,42,136,109,617,187,99
variant_810,10,31,32,1054,47,25
variant_811,12322,1,152,8,5,3
variant_812,3244,2,0,3,0,0
variant_813,6723,1,344,4,1,1
variant_814,4667,1,3,5,0,1
variant_815,1070,0,2,1,1,0
variant_816,1195,1,2,1,0,0
variant_817,4831,3,91,3,2,0
variant_818,1344,0,1,1,0,0
variant_819,15713,7395,6856,1209,4,5
variant_820,215,5438,31,2,2,3
variant_821,32129,16396,1837,37,20,10
variant_822,19775,5,200,22,6,5
variant_823,2826,0,1,3,0,0
variant_824,11327,3385,111,19,5,2
variant_825,7553,1,1,7,2,0
variant_826,15009,8229,1440,19,3,4
variant_827,4965,0,2,2,1,0
variant_828,4125,1,3,2,1,0
variant_829,1508,0,0,0,0,0
variant_830,14158,1,277,7,6,2
variant_831,11602,2,18,10,1,1
variant_832,1363,0,0,1,1,1
variant_833,1997,2,1,1,0,0
variant_834,1313,1,1,0,1,0
variant_835,1109,0,1,1,1,1
variant_836,37,29,70,1067,267,54
variant_837,3244,2,464,120,1,0
variant_838,1688,0,3,1,0,1
variant_839,1362,1,1,2,0,0
variant_840,1286,0,0,2,0,0
variant_841,10385,1,10,11,1,0
variant_842,6085,0,143,10,2,1
variant_843,5235,0,3,8,2,0
variant_844,4576,4,211,4,1,1
variant_845,3363,2,0,3,0,0
variant_846,329,77,53,111,324,232
variant_847,2983,1,2,2,0,0
variant_848,1078,0,3,1,0,0
variant_849,2378,0,2,1,1,1
variant_850,956,437,1,1,0,0
variant_851,21,2273,302,0,1,0
variant_852,1493,0,0,0,1,2
variant_853,14900,4,10,14,4,1
variant_854,60553,2894,1640,4037,15,9
variant_855,8572,7666,2306,12,1,1
variant_856,2774,1,1,3,1,0
variant_857,6737,2222,58,7,1,0
variant_858,5455,3,3,4,5,2
variant_859,6576,0,5,6,2,1
variant_860,1020,0,0,1,2,1
variant_861,3117,2,24,4,0,0
variant_862,1424,1,2,3,0,0
variant_863,15991,2938,314,11,9,3
variant_864,3344,0,5,3,0,0
variant_865,56021,9,330,52,14,11
variant_866,9718,1,5,11,4,1
variant_867,40922,7534,1694,984,17,9
variant_868,12606,6,105,13,6,1
variant_869,6576,198,146,5,1,0
variant_870,3335,2,11,2,0,0
variant_871,2454,0,0,3,1,0
variant_872,2150,0,20,2,1,0
variant_873,1692,1,1,3,1,0
variant_874,1388,1,1,3,0,0
variant_875,33268,12,341,33,13,4
variant_876,7005,0,99,10,3,0
variant_877,1057,1,1,1,0,0
variant_878,1059,0,2,0,1,1
variant_879,2640,0,2,3,1,0
variant_880,24829,8135,1773,35,9,3
variant_881,7306,1,159,7,1,3
variant_882,1905,1,4,0,0,0
variant_883,1612,0,0,1,0,1
variant_884,3648,0,0,2,3,0
variant_885,2192,2616,30,5,3,0
variant_886,2635,11530,1815,770,4,4
variant_887,3940,0,9,4,2,1
variant_888,32463,5956,222,40,6,8
variant_889,1202,0,0,0,0,0
variant_890,3738,0,155,1,0,0
variant_891,2078,2,2,2,0,0
variant_892,1148,1,0,1,0,0
variant_893,1050,0,0,1,1,0
variant_894,2138,5285,91,5,2,2
variant_895,2446,0,68,4,1,0
variant_896,3304,0,22,4,1,0
variant_897,1554,0,3,1,1,0
variant_898,1220,0,0,2,0,0
variant_899,14,1260,0,0,0,0
variant_900,11523,5,12,13,3,1
variant_901,1114,0,0,3,0,0
variant_902,3100,354,2,3,1,0
variant_903,1807,1,0,1,1,0
variant_904,1684,1,0,1,1,0
variant_905,983,5290,1411,5776,2516,1985
variant_906,4027,1276,35,12,1,0
variant_907,3167,0,5,3,1,0
variant_908,2480,0,2,2,2,1
variant_909,3026,0,3,6,1,0
variant_910,4101,1,57,9,3,0
variant_911,37255,5366,1907,645,8,7
variant_912,2793,3479,517,4,5,0
variant_913,2846,5715,1824,7,4,1
variant_914,74,128,129,949,200,169
variant_915,52809,7982,4235,252,28,14
variant_916,6265,6,527,796,1,0
variant_917,4298,0,3,4,2,0
variant_918,2675,0,0,0,0,0
variant_919,2684,1,240,3,1,0
variant_920,24105,1443,182,27,8,2
variant_921,4159,1,3,3,3,2
variant_922,3081,0,90,2,1,2
variant_923,2318,0,2,1,0,1
variant_924,4541,3506,114,288,1,2
variant_925,6489,4,44,9,5,0
variant_926,3962,1083,9,6,0,0
variant_927,1613,0,2,1,1,0
variant_928,1986,0,111,2,2,0
variant_929,8060,4,752,1473,4,2
variant_930,4387,1,5,3,1,0
variant_931,5700,1,375,12,0,0
variant_932,1701,0,3,3,0,0
variant_933,2106,1,0,0,0,0
variant_934,1560,0,1,3,3,0
variant_935,1935,1,2,4,2,2
variant_936,13435,4,651,7,6,4
variant_937,12981,882,304,10,4,1
variant_938,9455,2367,94,7,4,2
variant_939,5133,4,44,14,1,0
variant_940,2004,0,0,2,0,1
variant_941,54856,9756,10980,17111,3745,1674
variant_942,37742,6731,9591,4674,17,5
variant_943,17806,8,994,853,2,2
variant_944,11447,2273,261,563,3,2
variant_945,8507,2854,187,3,5,2
variant_946,6246,0,2,6,5,0
variant_947,3563,0,156,6,0,2
variant_948,1697,0,2,1,0,0
variant_949,1091,0,1,2,2,0
variant_950,1566,0,1,2,0,0
variant_951,8194,0,25,7,1,0
variant_952,15963,2,49,14,3,2
variant_953,15818,3287,238,13,5,3
variant_954,4646,1,0,4,3,0
variant_955,1058,0,0,0,0,0
variant_956,6160,3,36,4,2,0
variant_957,2280,891,5,2,2,2
variant_958,2166,0,11,2,0,1
variant_959,2721,0,20,5,1,0
variant_960,1603,0,0,0,0,2
variant_961,1804,0,0,1,1,0
variant_962,232,3803,958,807,1,4
variant_963,7902,1,6,5,2,1
variant_964,3366,1,1,2,2,1
variant_965,3157,0,23,3,0,0
variant_966,53221,12765,1501,60,22,8
variant_967,20322,1439,259,25,9,4
variant_968,1475,0,0,3,0,0
variant_969,1570,0,4,2,0,2
variant_970,83578,12120,6581,1440,362,11
variant_971,2272,0,1,1,2,0
variant_972,16261,2,9,14,3,3
variant_973,8155,1300,88,5,2,0
variant_974,1,2,14,1724,31,38
variant_975,1018,0,0,1,0,0
variant_976,8572,3,4,9,1,2
variant_977,3781,1,0,2,1,0
variant_978,4784,3,8,3,2,0
variant_979,2001,1,1,2,1,0
variant_980,9377,2475,612,8,5,2
variant_981,2064,830,2,2,0,2
variant_982,2458,0,18,1,0,0
variant_983,1018,0,1,0,1,0
variant_984,2541,0,1,2,2,0
variant_985,12077,2,12,10,2,1
variant_986,2663,0,1,5,1,0
variant_987,106281,18180,2105,115,39,19
variant_988,3331,0,15,4,1,0
variant_989,1274,0,2,1,2,0
variant_990,7706,3,62,10,3,3
variant_991,5274,0,3,7,4,2
variant_992,1610,0,0,3,0,1
variant_993,4267,1,7,7,1,0
variant_994,4109,2,17,7,2,1
variant_995,25102,2835,966,22,10,10
variant_996,3518,0,47,3,1,0
variant_997,5831,13714,838,17,4,0
variant_998,1245,248,118,83,14,4
variant_999,1903,2387,18,1,2,1
variant_1000,1533,0,1,1,0,0
variant_1001,1010,0,3,0,0,0
variant_1002,14937,4,9,17,5,1
variant_1003,14442,1,5,16,3,1
variant_1004,7420,4665,226,7,2,1
variant_1005,2386,1,1,1,1,0
variant_1006,5219,2,97,5,3,1
variant_1007,3360,0,2,5,1,1
variant_1008,1201,0,0,1,1,0
variant_1009,41466,1890,264,2691,3355,594
variant_1010,637,79,1730,43479,69542,64268
variant_1011,116193,20109,6471,584,41,17
variant_1012,25172,3,97,25,6,2
variant_1013,1468,1242,34,2,0,1
variant_1014,5302,2,4,6,0,0
variant_1015,8,3,10,313,430,413
variant_1016,2478,0,48,2,0,0
variant_1017,2039,0,51,2,0,0
variant_1018,1995,0,2,1,1,0
variant_1019,1248,0,0,0,0,0
variant_1020,1230,0,0,1,0,0
variant_1021,931,6043,12,3,2,2
variant_1022,1542,0,0,0,0,0
variant_1023,17372,2,286,14,2,2
variant_1024,20005,4,16,16,3,3
variant_1025,4299,2,187,3,3,0
variant_1026,2341,1659,510,3,1,1
variant_1027,1631,1432,20,2,2,1
variant_1028,2669,0,2,5,1,0
variant_1029,3408,2,0,4,0,1
variant_1030,2051,0,1,2,0,0
variant_1031,1606,0,3,2,1,0
variant_1032,4000,1,3,2,2,0
variant_1033,399,1681,2,0,0,0
variant_1034,23160,2797,705,21,7,5
variant_1035,1400,0,0,2,0,0
variant_1036,1336,0,5,1,0,0
variant_1037,11783,2179,104,8,4,3
variant_1038,8300,3,5,8,1,1
variant_1039,4289,4,110,5,0,0
variant_1040,1325,19,2,0,0,0
variant_1041,1706,0,1,2,1,2
variant_1042,1162,0,0,1,0,0
variant_1043,1180,1,0,3,0,0
variant_1044,1002,0,3,2,0,0
variant_1045,46432,20116,14274,21260,3076,1880
variant_1046,12803,11950,5356,1136,10,4
variant_1047,21955,269,161,24,6,6
variant_1048,6912,1,5,8,2,1
variant_1049,2319,0,1,2,0,0
variant_1050,2363,1,1,2,1,0
variant_1051,1346,0,1,1,0,0
variant_1052,1708,0,1,3,0,0
variant_1053,1843,0,0,2,0,0
variant_1054,1241,0,5,0,1,0
variant_1055,1391,0,2,2,0,0
variant_1056,18967,4790,60,17,2,1
variant_1057,266,4645,106,2,0,0
variant_1058,4248,1,0,7,1,0
variant_1059,1413,0,1,4,1,0
variant_1060,2476,0,2,4,0,1
variant_1061,622,2956,36,0,2,0
variant_1062,1162,0,0,1,2,0
variant_1063,291,86448,12133,619,687,21
variant_1064,4982,1542,850,6116,4,0
variant_1065,7625,0,65,4,2,1
variant_1066,2580,0,0,2,0,0
variant_1067,3436,1009,3,6,0,1
variant_1068,2161,3127,270,2,1,3
variant_1069,1709,2,3,3,0,0
variant_1070,1924,1,0,2,0,1
variant_1071,1846,0,0,0,0,0
variant_1072,8643,0,5,6,3,1
variant_1073,1308,1,1,1,2,0
variant_1074,33740,443,154,37,6,4
variant_1075,1590,0,3,0,1,1
variant_1076,2747,1,16,5,0,0
variant_1077,1105,0,0,3,0,0
variant_1078,1918,0,2,1,0,1
variant_1079,3607,0,0,2,2,0
variant_1080,2340,2,0,4,0,0
variant_1081,1648,2648,1453,3,3,0
variant_1082,23259,7,289,23,3,1
variant_1083,1903,2851,2518,2672,6,1
variant_1084,1236,0,1,2,0,1
variant_1085,2683,1,19,1,1,0
variant_1086,1878,0,2,1,3,1
variant_1087,1591,1,0,0,0,0
variant_1088,2629,1015,5,1,0,1
variant_1089,1882,1,2,4,1,1
variant_1090,1074,0,1,1,0,0
variant_1091,2032,1,1,0,1,0
variant_1092,2439,0,2,1,1,0
variant_1093,3834,0,2,4,0,0
variant_1094,1146,0,0,1,1,0
variant_1095,22103,11704,4091,26,11,6
variant_1096,2399,1,0,0,0,0
variant_1097,2371,0,23,2,0,1
variant_1098,10263,1,12,8,2,1
variant_1099,1155,1,1,0,1,0
variant_1100,3899,4564,863,7,0,2
variant_1101,2916,1,7,7,0,0
variant_1102,67984,857,2416,67,13,11
variant_1103,5845,0,92,7,1,2
variant_1104,2379,0,4,7,2,1
variant_1105,1600,0,1,1,0,0
variant_1106,617,41446,887,9,8,2
variant_1107,41,109,140,672,4362,5176
variant_1108,4266,1080,71,6,1,0
variant_1109,1424,4403,287,2,1,1
variant_1110,3738,0,2,3,0,0
variant_1111,38152,26525,1780,307,12,10
variant_1112,2941,3,2,3,1,1
variant_1113,1173,0,0,1,0,0
variant_1114,2037,0,2,3,0,1
variant_1115,2335,45,89,5,1,0
variant_1116,2045,0,0,2,0,0
variant_1117,1568,0,0,2,0,0
variant_1118,6599,1,2,10,3,0
variant_1119,1758,0,0,1,0,1
variant_1120,3996,683,8,9,1,0
variant_1121,1591,0,0,2,0,0
variant_1122,1138,2322,2,2,2,0
variant_1123,2829,2,2,1,1,0
variant_1124,3410,1,2,0,0,1
variant_1125,8652,2,33,8,3,1
variant_1126,2964,1496,3,6,2,0
variant_1127,2526,1,4,0,1,0
variant_1128,3510,0,4,2,1,0
variant_1129,1482,0,1,1,1,0
variant_1130,1625,0,2,1,0,0
variant_1131,3842,0,3,1,0,2
variant_1132,3091,2,0,3,2,0
variant_1133,1900,0,0,1,0,0
variant_1134,13625,8244,1311,36,7,2
variant_1135,1576,0,2,0,0,0
variant_1136,1393,1,1,0,2,0
variant_1137,1672,2289,19,1,2,0
variant_1138,2617,1574,5,3,1,0
variant_1139,1596,1,0,2,1,0
variant_1140,627,2022,24,0,1,0
variant_1141,217008,25071,8651,1373,65,34
variant_1142,981,87,34,5,1,0
variant_1143,393,0,135,474,0,0
variant_1144,4998,1,736,4,1,1
variant_1145,2178,1,0,0,0,1
variant_1146,3010,1604,390,3,3,1
variant_1147,1483,1,1,2,0,0
variant_1148,1256,1,799,3,0,1
variant_1149,4335,1,5,8,0,0
variant_1150,6898,0,3,6,1,0
variant_1151,1042,0,0,1,1,0
variant_1152,1898,0,2,1,0,0
variant_1153,3960,0,8,8,2,1
variant_1154,1560,0,0,0,1,0
variant_1155,12118,2512,64,13,3,1
variant_1156,1404,0,1,2,0,0
variant_1157,107,4514,342,3,0,0
variant_1158,13872,4,2,13,2,0
variant_1159,1545,1,0,1,1,0
variant_1160,1063,0,3,0,1,0
variant_1161,3449,1982,1,3,2,1
variant_1162,3047,0,49,2,0,1
variant_1163,4115,0,3,4,1,0
variant_1164,3033,264,301,41,12,5
variant_1165,1431,0,0,0,0,0
variant_1166,1356,0,0,0,0,0
variant_1167,1942,1,0,4,1,2
variant_1168,1399,0,1,2,0,1
variant_1169,2271,0,1,2,1,0
variant_1170,23768,4843,22,23,4,3
variant_1171,2329,0,3,1,0,1
variant_1172,2776,0,0,0,0,0
variant_1173,1632,0,0,0,1,0
variant_1174,1375,0,131,1,0,0
variant_1175,1670,4645,44,5,1,1
variant_1176,1019,1,0,0,1,0
variant_1177,2537,1,3,2,0,0
variant_1178,2406,0,4,1,1,0
variant_1179,1116,0,49,1,0,0
variant_1180,1480,0,0,4,2,0
variant_1181,5080,5152,37,10,3,0
variant_1182,2709,1,22,1,1,0
variant_1183,2110,0,2,2,1,1
variant_1184,2878,0,1,1,2,1
variant_1185,4581,0,64,6,1,0
variant_1186,4093,0,0,5,1,1
variant_1187,2485,1,0,2,0,0
variant_1188,1241,61,189,367,54,10
variant_1189,2899,0,19,4,2,1
variant_1190,2735,1,2,1,1,0
variant_1191,24368,9,401,24,3,3
variant_1192,2792,0,1,6,0,0
variant_1193,1069,0,0,1,0,0
variant_1194,1329,2907,2949,17891,56319,35365
variant_1195,5454,2036,37,4,4,1
variant_1196,2715,0,4,5,1,1
variant_1197,1162,0,0,1,1,0
variant_1198,2338,0,1,4,1,0
variant_1199,2730,2,290,0,0,1
variant_1200,1250,0,1,1,0,0
variant_1201,38041,13542,1267,42,8,8
variant_1202,9237,1603,2226,12,6,3
variant_1203,3742,0,20,3,1,2
variant_1204,3571,1,1,3,1,0
variant_1205,1069,1,47,0,1,0
variant_1206,1148,0,0,2,0,0
variant_1207,1023,0,1,1,0,0
variant_1208,5934,1,4,5,1,1
variant_1209,2427,1,1,1,2,0
variant_1210,1361,0,3,4,0,0
variant_1211,3727,0,2,5,1,1
variant_1212,1216,156,4,0,0,0
variant_1213,1076,0,1,2,3,1
variant_1214,1958,0,1,3,1,1
variant_1215,1004,0,0,0,0,0
variant_1216,519,2949,35,2,0,1
variant_1217,1434,1,1,0,0,0
variant_1218,1284,1213,6,3,0,0
variant_1219,2245,0,0,2,3,0
variant_1220,1102,0,0,3,1,0
variant_1221,1539,0,2,2,0,0
variant_1222,1047,0,0,0,0,0
variant_1223,2330,0,0,2,1,0
variant_1224,3357,0,0,7,1,0
variant_1225,19594,5206,718,12,5,1
variant_1226,8675,1683,427,838,2,0
variant_1227,1101,1,2,1,0,0
variant_1228,1216,0,2,1,1,0
variant_1229,131,33652,3461,515,348,8
variant_1230,2964,3,14,2,0,0
variant_1231,19789,2880,32,12,9,1
variant_1232,1689,0,0,0,0,1
variant_1233,1234,3,0,1,0,0
variant_1234,2308,0,5,1,0,0
variant_1235,4213,0,80,0,0,0
variant_1236,1045,0,0,2,1,0
variant_1237,1244,0,0,2,1,0
variant_1238,1055,0,0,1,0,0
variant_1239,16662,4938,155,16,3,3
variant_1240,6934,2,1,9,0,0
variant_1241,6645,0,2,9,3,1
variant_1242,1437,0,1,1,2,0
variant_1243,2931,1746,2,0,1,1
variant_1244,2891,0,1,3,0,1
variant_1245,6999,0,43,5,1,0
variant_1246,1890,0,0,1,2,0
variant_1247,1343,0,1,2,2,0
variant_1248,1031,0,1,0,0,1
variant_1249,1037,0,0,3,0,0
variant_1250,2154,3,6,1,2,0
variant_1251,1696,0,2,3,0,0
variant_1252,1144,2213,1,1,1,0
variant_1253,3799,1,2,4,1,2
variant_1254,7677,0,49,9,1,1
variant_1255,1330,1,442,1,1,0
variant_1256,2130,1,1,1,0,0
variant_1257,199,48,67,313,270,405
variant_1258,1320,1,1,0,0,0
variant_1259,740,668,17,1,0,0
variant_1260,675,6763,1908,1743,712,1
variant_1261,1249,0,0,1,0,0
variant_1262,39,26,18,78,434,430
variant_1263,1434,1,0,1,0,0
variant_1264,86,35,38,135,873,877
variant_1265,7251,459,8,10,5,0
variant_1266,9356,3,5,10,1,0
variant_1267,3451,2,1,4,0,0
variant_1268,927,82,40,53,4,6
variant_1269,328,468,915,5415,22289,25551
variant_1270,30,32,50,191,1203,1368
variant_1271,4092,0,1,4,0,0
variant_1272,1285,0,0,1,0,0
variant_1273,4130,2,5,3,14,10
variant_1274,1227,0,1,1,1,0
variant_1275,381652,35728,16911,17829,117,66
variant_1276,60618,3805,2667,1282,21,7
variant_1277,20012,4,9,12,8,1
variant_1278,1069,88,40,49,1,1
variant_1279,6971,1,54,7,1,1
variant_1280,1590,0,4,1,0,0
variant_1281,838,90,40,32,2,1
variant_1282,1172,90,45,42,1,0
variant_1283,6209,0,22,8,2,0
variant_1284,4279,1,1,4,0,0
variant_1285,3709,2,0,3,1,0
variant_1286,1578,0,1,2,0,0
variant_1287,1041,0,0,1,0,0
variant_1288,3275,18253,560,7,4,3
variant_1289,1679,3406,253,3,1,1
variant_1290,3229,2,2,2,0,1
variant_1291,3380,0,36,2,2,0
variant_1292,1050,0,1,0,0,0
variant_1293,3485,0,2,4,1,0
variant_1294,1472,1,2,0,0,0
variant_1295,1730,2,1,2,0,0
variant_1296,1356,1,1,2,1,0
variant_1297,1447,1,1,1,2,0
variant_1298,2154,340,3,3,2,0
variant_1299,1090,0,1,0,0,0
variant_1300,3003,1,1,5,0,1
variant_1301,3216,2,0,3,0,0
variant_1302,3827,1,4,3,0,0
variant_1303,1667,0,1,1,1,0
variant_1304,1471,0,27,6,0,0
variant_1305,2647,0,18,3,1,1
variant_1306,5029,794,3,4,1,0
variant_1307,2971,1,1,1,1,0
variant_1308,1549,0,2,0,0,0
variant_1309,3172,0,2,3,0,0
variant_1310,2070,2,951,2,0,0
variant_1311,2022,0,0,2,1,1
variant_1312,1418,0,0,1,0,0
variant_1313,841,7990,51,4,0,0
variant_1314,5436,2,7,6,3,0
variant_1315,19398,4,17,19,7,2
variant_1316,1239,6521,213,1,1,1
variant_1317,6673,1,2,3,4,3
variant_1318,1264,0,0,0,0,0
variant_1319,2844,0,1,2,1,0
variant_1320,1123,0,2,0,0,1
variant_1321,1290,2,0,1,1,1
variant_1322,1191,0,0,2,0,0
variant_1323,3895,2,0,7,0,2
variant_1324,1617,1,2,3,0,0
variant_1325,1009,0,1,1,0,0
variant_1326,1639,0,0,2,0,0
variant_1327,1913,2,2,4,0,0
variant_1328,1500,0,0,1,0,0
variant_1329,36805,8380,821,40,10,9
variant_1330,1116,0,0,2,1,0
variant_1331,13907,2,7,14,3,1
variant_1332,1522,0,1,1,0,0
variant_1333,964,3795,5,0,0,2
variant_1334,8419,18871,9673,9892,5060,777
variant_1335,4006,2,2,2,1,0
variant_1336,195528,48281,3514,214,58,29
variant_1337,1931,1,1,1,0,0
variant_1338,1050,0,1,3,1,0
variant_1339,1110,0,0,0,0,0
variant_1340,4889,1,2,2,3,0
variant_1341,4462,3221,11,6,3,1
variant_1342,3051,0,3,3,0,0
variant_1343,2454,0,158,4,1,2
variant_1344,1925,0,1,0,0,0
variant_1345,2066,1538,1,2,0,0
variant_1346,1649,0,2,3,0,0
variant_1347,25616,8754,2589,1831,13,5
variant_1348,6688,1,3,6,4,1
variant_1349,21756,2,309,211,5,4
variant_1350,8021,0,29,7,2,1
variant_1351,2992,0,2,3,0,0
variant_1352,5439,0,546,631,4,0
variant_1353,14068,3093,747,198,6,2
variant_1354,2922,2835,3,5,0,0
variant_1355,3687,1,2,2,0,0
variant_1356,1170,0,0,0,0,0
variant_1357,63,7177,292,3,1,1
variant_1358,1399,0,1,0,0,0
variant_1359,1330,0,2,1,0,2
variant_1360,3160,0,4,2,0,1
variant_1361,1761,0,2,2,2,0
variant_1362,1955,0,4,2,0,0
variant_1363,1273,1,0,1,0,0
variant_1364,1548,0,1,0,1,0
variant_1365,4536,0,7,4,0,0
variant_1366,1382,1,1,3,2,0
variant_1367,95958,22008,5571,94,31,15
variant_1368,2343,1,22,2,0,0
variant_1369,1813,1,1,0,0,0
variant_1370,3618,407,179,3,2,1
variant_1371,4275,4,3,3,1,1
variant_1372,3893,1796,476,5,2,0
variant_1373,2709,1,0,2,1,0
variant_1374,2777,1,2,0,0,1
variant_1375,1817,0,0,1,0,1
variant_1376,7192,5,239,9,2,0
variant_1377,2558,0,2,4,0,0
variant_1378,2539,0,0,1,0,0
variant_1379,23703,10857,614,35,11,3
variant_1380,2728,1675,1800,1073,3,2
variant_1381,2659,1,2,2,2,0
variant_1382,1803,0,0,1,0,0
variant_1383,1519,873,2,2,2,0
variant_1384,12891,4,13,6,7,4
variant_1385,670,6918,107,1,0,0
variant_1386,20,20,28,107,649,691
variant_1387,5591,3,90,5,0,0
variant_1388,948,4953,238,2,3,1
variant_1389,2400,1,1,2,1,0
variant_1390,1587,0,1,2,2,1
variant_1391,3990,0,3,4,1,0
variant_1392,47514,14,30,38,10,5
variant_1393,2887,0,1,1,0,0
variant_1394,1329,0,0,3,1,1
variant_1395,5070,2,4,6,4,0
variant_1396,1530,0,0,4,0,0
variant_1397,14654,1865,589,14,7,3
variant_1398,6528,1462,34,7,1,1
variant_1399,4632,1,2,5,3,1
variant_1400,2160,1,110,1,1,1
variant_1401,1685,1,10,1,0,0
variant_1402,38328,5465,3529,34,9,4
variant_1403,477,3036,1,2,0,0
variant_1404,1418,1,1,0,1,0
variant_1405,1347,1,1,2,0,0
variant_1406,12187,24039,18337,42495,89220,136535
variant_1407,112,7959,63,3,2,0
variant_1408,1577,0,0,1,1,0
variant_1409,4397,1610,525,7,2,1
variant_1410,6235,1552,21,5,1,1
variant_1411,1433,0,1,0,0,0
variant_1412,8243,4,306,4,2,0
variant_1413,5041,821,125,4,0,0
variant_1414,3131,1,0,3,0,0
variant_1415,2448,5331,48,6,3,1
variant_1416,2296,1,2,1,0,0
variant_1417,29338,3532,2427,34,7,6
variant_1418,4867,1,3,2,2,0
variant_1419,13051,2,36,16,1,0
variant_1420,958,1452,2,0,1,0
variant_1421,38281,2116,301,30,9,5
variant_1422,1869,1,0,1,0,2
variant_1423,3928,4952,127,9,1,0
variant_1424,1530,0,1,0,0,1
variant_1425,273,1220,0,0,2,0
variant_1426,2791,2070,1536,519,0,1
variant_1427,1060,0,0,0,0,0
variant_1428,1044,1,19,1,0,0
variant_1429,1749,2,3,3,0,0
variant_1430,1656,0,1,2,0,0
variant_1431,1370,0,2,1,0,0
variant_1432,1888,0,1,4,1,0
variant_1433,8946,2,8,8,1,0
variant_1434,2451,0,4,0,0,0
variant_1435,263,1210,1,1,1,0
variant_1436,4285,1,2,2,0,0
variant_1437,8478,2,6,12,1,1
variant_1438,951,2181,249,2,1,1
variant_1439,2521,0,168,3,1,0
variant_1440,511,513,0,0,0,0
variant_1441,1953,8519,142,2,1,1
variant_1442,2144,1,1,4,2,0
variant_1443,2515,1,2,1,0,0
variant_1444,2712,0,3,4,2,0
variant_1445,1994,1,1,1,0,0
variant_1446,2243,1,2,0,1,0
variant_1447,3146,1186,1155,118,1,1
variant_1448,1953,1,1,3,1,0
variant_1449,1305,0,3,1,0,0
variant_1450,1445,1,3,0,2,0
variant_1451,2122,176,2,2,1,0
variant_1452,959,2355,3,2,1,1
variant_1453,1597,1,1,1,1,0
variant_1454,1040,1,0,0,1,0
variant_1455,203195,25100,10447,2412,138,39
variant_1456,6983,0,3,5,5,2
variant_1457,4528,1,5,6,1,2
variant_1458,2858,15,5,4,0,0
variant_1459,2108,0,0,2,0,0
variant_1460,1867,0,0,0,2,0
variant_1461,6378,3526,123,4,2,2
variant_1462,1119,0,1,1,0,0
variant_1463,1621,0,154,2,0,0
variant_1464,1697,1,3,5,0,1
variant_1465,24991,5,192,22,7,2
variant_1466,16144,2,46,12,6,0
variant_1467,1075,0,1,2,0,0
variant_1468,171563,14771,5224,177,38,19
variant_1469,1728,1,3,2,1,2
variant_1470,2885,0,10,2,0,0
variant_1471,1038,0,1,0,0,0
variant_1472,7725,3,184,9,4,2
variant_1473,52,7,44,1935,21,28
variant_1474,3618,0,34,0,1,0
variant_1475,4962,2,0,6,1,1
variant_1476,1242,0,0,2,0,0
variant_1477,1595,1,1,1,0,0
variant_1478,1300,0,0,2,0,0
variant_1479,2337,0,1,2,1,0
variant_1480,1387,1,1,1,0,0
variant_1481,1314,0,0,1,1,0
variant_1482,2014,0,1,3,1,1
variant_1483,2164,2,1,1,0,1
variant_1484,2679,0,1,3,1,1
variant_1485,2007,1,1,1,1,0
variant_1486,1498,9524,464,3,2,0
variant_1487,5672,2033,183,7,0,3
variant_1488,1998,0,1,2,0,0
variant_1489,1106,0,4,0,0,0
variant_1490,30769,71901,27729,90966,2221,1435
variant_1491,0,2,9,1200,1,0
variant_1492,7,22,10,974,2,1
variant_1493,8926,7196,7668,7384,1564,803
variant_1494,5259,0,5,8,2,0
variant_1495,1915,0,32,0,0,0
variant_1496,2053,0,2,2,1,0
variant_1497,7227,2,202,6,2,0
