,G0,D1.25,D2.25,D3.25,D4.25
variant_6673,226,170,45,25,16
variant_6674,33,0,0,0,0
variant_6675,382,900,600,902,1481
variant_6676,657,1320,1472,1712,2795
variant_6677,337,53,4,6,1
variant_6678,90,49,52,42,24
variant_6679,347,41,11,7,0
variant_6680,186,242,219,258,378
variant_6681,8,1,2,2,3
variant_6682,54,39,20,35,41
variant_6683,9,0,0,0,0
variant_6684,698,682,474,389,410
variant_6685,7,1,0,0,0
variant_6686,146,162,163,223,226
variant_6687,167,151,110,93,93
variant_6688,75,18,7,9,3
variant_6689,963,1665,998,1142,1285
variant_6690,55,11,8,19,34
variant_6691,1251,2040,1789,2432,2768
variant_6692,463,732,739,1059,1371
variant_6693,40,0,0,0,0
variant_6694,630,1100,1012,1241,1694
variant_6695,946,997,460,432,512
variant_6696,1091,2113,1908,2546,3295
variant_6697,160,35,6,8,0
variant_6698,209,437,502,825,1082
variant_6699,75,3,0,0,2
variant_6700,230,11,1,2,0
variant_6701,20,117,31,93,48
variant_6702,28,0,0,4,0
variant_6703,275,134,38,11,7
variant_6704,473,106,17,30,8
variant_6705,286,589,587,622,775
variant_6706,61,2,0,2,0
variant_6707,132,13,1,6,2
variant_6708,386,53,35,24,28
variant_6709,61,107,127,145,141
variant_6710,777,1606,1935,3657,5752
variant_6711,2176,3736,2984,3322,4002
variant_6712,695,925,700,1037,1226
variant_6713,48,1,0,1,0
variant_6714,578,626,354,177,132
variant_6715,713,587,250,321,216
variant_6716,1154,1703,1558,2443,2902
variant_6717,21,3,1,1,0
variant_6718,247,11,0,0,1
variant_6719,100,72,34,26,26
variant_6720,303,273,141,151,161
variant_6721,118,78,62,73,49
variant_6722,27,1,0,0,0
variant_6723,181,87,21,12,19
variant_6724,394,423,178,114,111
variant_6725,86,93,130,145,214
variant_6726,1,1,2,0,0
variant_6727,30,0,0,0,0
variant_6728,103,9,0,1,1
variant_6729,44,0,0,0,0
variant_6730,125,85,42,53,24
variant_6731,101,118,104,159,231
variant_6732,201,803,711,878,1332
variant_6733,551,1316,1251,1839,2700
variant_6734,127,34,2,1,6
variant_6735,228,333,359,624,688
variant_6736,31,0,1,2,0
variant_6737,207,128,123,135,125
variant_6738,285,209,202,315,341
variant_6739,88,65,30,21,23
variant_6740,659,424,159,160,144
variant_6741,631,767,794,1074,1561
variant_6742,144,84,63,75,114
variant_6743,50,28,36,45,55
variant_6744,29,15,0,5,11
variant_6745,899,140,30,22,24
variant_6746,46,0,0,0,0
variant_6747,54,0,0,0,0
variant_6748,428,141,25,29,14
variant_6749,48,0,0,1,0
variant_6750,44,0,0,1,1
variant_6751,95,11,0,2,0
variant_6752,831,1078,1165,1587,2359
variant_6753,419,36,0,4,0
variant_6754,37,0,0,0,0
variant_6755,278,2,2,0,0
variant_6756,6,0,0,0,0
variant_6757,47,3,0,0,0
variant_6758,15,0,0,1,0
variant_6759,585,823,669,927,1788
variant_6760,871,1354,1450,1989,2687
variant_6761,59,66,37,13,55
variant_6762,2,1,1,0,0
variant_6763,374,297,251,277,407
variant_6764,252,159,40,33,7
variant_6765,41,0,1,0,1
variant_6766,287,32,0,0,3
variant_6767,403,780,656,736,817
variant_6768,700,866,620,713,672
variant_6769,28,2,3,5,1
variant_6770,991,479,59,48,30
variant_6771,18,0,0,0,0
variant_6772,99,170,161,256,368
variant_6773,93,24,27,66,46
variant_6774,651,613,327,524,400
variant_6775,329,40,9,12,2
variant_6776,256,50,4,0,1
variant_6777,296,32,5,14,8
variant_6778,804,544,450,578,571
variant_6779,127,66,39,29,30
variant_6780,1049,940,659,704,530
variant_6781,269,25,2,1,0
variant_6782,18,0,1,1,2
variant_6783,98,87,47,61,106
variant_6784,469,294,220,242,210
variant_6785,89,73,78,90,139
variant_6786,532,150,84,131,122
variant_6787,21,0,0,0,0
variant_6788,264,362,460,732,930
variant_6789,3,0,0,0,0
variant_6790,9,2,0,1,0
variant_6791,336,336,229,339,364
variant_6792,1010,2389,2380,3374,4596
variant_6793,61,35,13,3,7
variant_6794,37,3,0,0,0
variant_6795,571,53,18,5,1
variant_6796,213,72,12,3,3
variant_6797,380,522,440,443,789
variant_6798,34,16,0,0,2
variant_6799,83,83,49,31,30
variant_6800,120,100,35,52,43
variant_6801,434,402,354,617,848
variant_6802,586,45,23,9,6
variant_6803,112,36,32,48,72
variant_6804,670,185,42,32,17
variant_6805,35,0,0,0,0
variant_6806,14,0,0,0,0
variant_6807,309,460,363,388,539
variant_6808,577,583,383,258,187
variant_6809,434,521,569,773,1143
variant_6810,283,111,34,10,7
variant_6811,331,297,156,182,139
variant_6812,170,39,15,4,2
variant_6813,703,357,131,110,102
variant_6814,300,711,617,870,1181
variant_6815,77,81,76,81,118
variant_6816,208,17,0,0,0
variant_6817,354,235,192,168,158
variant_6818,459,431,186,173,201
variant_6819,223,18,1,0,5
variant_6820,46,3,4,14,5
variant_6821,481,1367,1645,2439,3915
variant_6822,372,300,220,245,309
variant_6823,637,1250,957,1052,1292
variant_6824,911,1285,1384,2134,2764
variant_6825,292,254,199,291,208
variant_6826,129,170,174,244,338
variant_6827,375,577,542,740,926
variant_6828,113,42,10,19,4
variant_6829,553,1031,1270,1892,2089
variant_6830,4,0,0,0,1
variant_6831,1000,611,246,218,180
variant_6832,32,1,3,1,9
variant_6833,155,81,79,108,119
variant_6834,299,261,228,389,500
variant_6835,127,147,118,136,180
variant_6836,64,62,91,114,127
variant_6837,596,48,10,14,8
variant_6838,729,102,26,11,5
variant_6839,830,300,68,21,15
variant_6840,1135,2310,2170,2817,4166
variant_6841,1947,2635,1646,1629,1297
variant_6842,14,0,0,0,1
variant_6843,140,129,87,90,96
variant_6844,47,83,71,94,84
variant_6845,86,2,3,0,3
variant_6846,154,144,72,116,76
variant_6847,529,417,200,135,123
variant_6848,194,83,72,55,72
variant_6849,119,0,0,1,0
variant_6850,230,182,126,147,131
variant_6851,417,590,522,865,1115
variant_6852,27,104,65,81,102
variant_6853,591,1164,1132,1458,1910
variant_6854,180,303,150,240,262
variant_6855,514,6,0,5,3
variant_6856,344,252,209,224,260
variant_6857,365,270,92,84,65
variant_6858,157,89,29,27,20
variant_6859,588,165,38,38,23
variant_6860,87,22,3,11,18
variant_6861,17,0,0,0,0
variant_6862,374,174,88,45,45
variant_6863,38,0,0,1,0
variant_6864,120,198,155,163,201
variant_6865,246,223,137,124,132
variant_6866,223,221,172,172,263
variant_6867,113,18,3,1,1
variant_6868,78,14,3,1,3
variant_6869,438,187,3,0,2
variant_6870,327,129,36,30,14
variant_6871,247,105,73,57,95
variant_6872,101,202,158,228,460
variant_6873,210,86,26,27,20
variant_6874,416,163,65,56,38
variant_6875,777,63,6,12,0
variant_6876,568,1004,1083,1519,2089
variant_6877,97,127,56,39,49
variant_6878,792,255,47,48,43
variant_6879,110,6,0,4,0
variant_6880,574,498,243,279,278
variant_6881,192,70,39,32,43
variant_6882,714,825,749,1001,1287
variant_6883,17,0,0,0,0
variant_6884,620,69,10,2,1
variant_6885,613,628,727,1088,1437
variant_6886,222,496,356,391,859
variant_6887,190,492,518,996,1234
variant_6888,509,458,213,195,219
variant_6889,21,0,0,0,0
variant_6890,254,8,1,2,2
variant_6891,11,0,0,0,0
variant_6892,88,4,10,11,10
variant_6893,174,127,129,190,184
variant_6894,242,49,5,10,2
variant_6895,1199,197,14,3,4
variant_6896,319,681,802,835,1229
variant_6897,45,0,0,1,1
variant_6898,297,479,579,844,1086
variant_6899,173,180,75,80,37
variant_6900,54,0,0,1,0
variant_6901,406,156,21,19,12
variant_6902,100,174,143,135,290
variant_6903,297,33,2,2,4
variant_6904,28,1,0,3,1
variant_6905,35,2,2,1,3
variant_6906,145,167,129,151,156
variant_6907,254,279,247,289,316
variant_6908,62,15,4,0,0
variant_6909,350,63,9,12,3
variant_6910,57,30,25,13,35
variant_6911,19,0,0,1,0
variant_6912,1142,1329,645,671,687
variant_6913,31,0,0,1,0
variant_6914,171,313,355,466,685
variant_6915,47,16,16,12,5
variant_6916,343,173,111,66,63
variant_6917,258,242,257,356,540
variant_6918,137,32,8,13,17
variant_6919,326,284,168,164,148
variant_6920,29,0,0,0,0
variant_6921,274,669,587,842,1285
variant_6922,203,310,207,200,241
variant_6923,35,0,0,0,1
variant_6924,187,28,2,3,1
variant_6925,50,0,0,2,0
variant_6926,84,0,0,4,0
variant_6927,53,13,12,4,5
variant_6928,100,198,220,242,374
variant_6929,127,165,135,143,139
variant_6930,39,8,3,2,15
variant_6931,33,2,0,2,3
variant_6932,134,152,85,128,154
variant_6933,14,0,0,0,0
variant_6934,45,52,15,9,8
variant_6935,244,95,90,109,98
variant_6936,36,0,0,1,0
variant_6937,183,153,56,51,41
variant_6938,508,781,753,1119,1266
variant_6939,225,147,63,38,31
variant_6940,148,261,198,173,383
variant_6941,80,0,0,1,2
variant_6942,413,563,390,456,456
variant_6943,1499,319,70,43,34
variant_6944,15,2,0,0,0
variant_6945,67,143,141,283,312
variant_6946,399,238,104,114,99
variant_6947,81,139,124,170,244
variant_6948,204,206,201,414,579
variant_6949,25,0,0,0,0
variant_6950,13,1,0,0,2
variant_6951,129,54,71,70,49
variant_6952,31,14,6,16,20
variant_6953,588,967,872,1208,1810
variant_6954,313,433,346,460,566
variant_6955,341,55,14,5,0
variant_6956,169,15,0,3,0
variant_6957,859,193,44,47,41
variant_6958,198,128,48,67,69
variant_6959,536,504,336,379,257
variant_6960,172,119,112,147,142
variant_6961,209,30,18,25,15
variant_6962,327,985,590,612,1413
variant_6963,71,38,8,5,3
variant_6964,309,155,47,63,32
variant_6965,156,64,30,24,23
variant_6966,306,290,298,412,555
variant_6967,516,1199,1700,2766,3811
variant_6968,516,66,4,0,3
variant_6969,2879,5543,5441,8207,10071
variant_6970,1144,657,302,263,220
variant_6971,13,0,0,0,0
variant_6972,286,100,45,16,5
variant_6973,13,9,0,6,6
variant_6974,156,8,0,0,0
variant_6975,1219,324,10,11,4
variant_6976,321,17,1,0,0
variant_6977,64,0,3,0,3
variant_6978,133,250,261,355,556
variant_6979,876,1255,938,1431,1632
variant_6980,30,3,3,8,11
variant_6981,365,1397,1308,1833,2646
variant_6982,162,389,325,402,782
variant_6983,215,225,210,315,425
variant_6984,179,140,86,160,123
variant_6985,483,95,29,11,12
variant_6986,603,289,156,106,121
variant_6987,7,0,0,0,0
variant_6988,2960,2347,1221,1262,1107
variant_6989,30,0,0,0,0
variant_6990,79,107,110,157,218
variant_6991,206,122,28,29,14
variant_6992,149,88,95,94,124
variant_6993,2174,528,131,111,94
variant_6994,239,393,387,515,721
variant_6995,292,76,12,7,2
variant_6996,35,0,0,3,0
variant_6997,1360,144,28,16,13
variant_6998,37,54,14,24,14
variant_6999,234,129,28,14,18
variant_7000,16,0,0,0,0
variant_7001,364,667,626,776,885
variant_7002,252,19,7,5,7
variant_7003,229,248,109,149,120
variant_7004,288,375,328,337,352
variant_7005,90,13,0,1,1
variant_7006,208,144,211,319,387
variant_7007,48,1,0,0,1
variant_7008,137,232,183,273,427
variant_7009,327,276,67,37,42
variant_7010,1193,105,10,4,5
variant_7011,4,0,0,0,0
variant_7012,287,549,476,578,749
variant_7013,178,42,18,15,3
variant_7014,163,19,4,1,8
variant_7015,635,75,3,1,0
variant_7016,599,525,340,403,440
variant_7017,583,801,846,1375,1575
variant_7018,105,122,62,39,34
variant_7019,532,382,217,230,223
variant_7020,1033,2012,1449,1761,2747
variant_7021,43,31,9,15,27
variant_7022,15,0,0,0,0
variant_7023,271,400,260,280,298
variant_7024,234,124,39,17,22
variant_7025,219,317,255,371,509
variant_7026,1006,657,324,284,237
variant_7027,287,431,397,558,580
variant_7028,564,132,17,16,10
variant_7029,106,61,17,5,4
variant_7030,548,186,35,16,9
variant_7031,142,26,2,1,2
variant_7032,463,45,1,3,0
variant_7033,243,105,101,142,264
variant_7034,427,57,4,1,0
variant_7035,177,183,180,181,252
variant_7036,224,545,574,662,1070
variant_7037,966,1543,1070,1743,1594
variant_7038,65,7,2,1,0
variant_7039,153,134,74,64,15
variant_7040,130,70,26,5,3
variant_7041,30,0,0,0,0
variant_7042,346,36,1,4,2
variant_7043,67,2,2,4,0
variant_7044,130,23,6,0,2
variant_7045,329,16,14,19,12
variant_7046,25,2,0,3,0
variant_7047,45,0,1,3,0
variant_7048,135,78,75,99,176
variant_7049,30,0,0,0,0
variant_7050,371,69,33,14,9
variant_7051,268,102,26,45,33
variant_7052,597,1294,1201,1440,2061
variant_7053,32,1,1,0,0
variant_7054,5,4,3,1,4
variant_7055,71,168,97,107,87
variant_7056,208,72,83,134,229
variant_7057,258,166,72,64,79
variant_7058,443,165,27,7,9
variant_7059,927,454,141,86,94
variant_7060,267,130,32,31,19
variant_7061,904,871,179,126,72
variant_7062,233,272,99,125,117
variant_7063,492,133,34,26,6
variant_7064,80,145,59,46,64
variant_7065,146,9,2,0,0
variant_7066,249,136,16,3,14
variant_7067,516,98,80,26,14
variant_7068,92,143,111,155,238
variant_7069,417,77,8,3,7
variant_7070,86,1,12,12,7
variant_7071,43,1,0,0,2
variant_7072,2,0,0,0,0
variant_7073,798,211,82,55,33
variant_7074,20,0,0,0,0
variant_7075,36,0,0,0,1
variant_7076,2498,1847,843,673,594
variant_7077,12,0,0,0,0
variant_7078,227,294,115,87,106
variant_7079,796,68,3,7,1
variant_7080,339,475,440,674,856
variant_7081,708,925,1101,1478,1835
variant_7082,43,3,1,1,2
variant_7083,66,28,24,18,9
variant_7084,94,1,2,0,0
variant_7085,460,301,86,29,11
variant_7086,70,15,0,0,3
variant_7087,42,1,0,1,0
variant_7088,305,299,136,113,193
variant_7089,59,20,6,3,3
variant_7090,695,1038,904,1448,2119
variant_7091,441,551,418,621,821
variant_7092,9,0,0,0,1
variant_7093,43,0,0,0,1
variant_7094,85,163,188,282,408
variant_7095,56,0,0,2,0
variant_7096,73,28,1,0,0
variant_7097,143,183,83,71,79
variant_7098,17,0,1,4,1
variant_7099,11,0,0,0,0
variant_7100,1460,972,207,141,38
variant_7101,59,10,6,20,22
variant_7102,310,30,0,0,3
variant_7103,396,148,87,85,89
variant_7104,201,189,116,105,112
variant_7105,501,139,49,12,20
variant_7106,1067,2059,1990,2801,3530
variant_7107,294,625,583,1128,1536
variant_7108,179,5,4,8,6
variant_7109,87,9,0,0,0
variant_7110,393,153,66,87,20
variant_7111,96,230,258,298,367
variant_7112,26,3,0,0,0
variant_7113,514,687,589,883,1171
variant_7114,817,281,19,16,10
variant_7115,938,99,26,33,9
variant_7116,66,44,9,17,16
variant_7117,225,13,0,1,0
variant_7118,369,265,251,344,397
variant_7119,129,4,0,0,0
variant_7120,111,33,32,56,54
variant_7121,210,245,145,121,83
variant_7122,1581,2752,2757,3822,4258
variant_7123,408,76,42,24,11
variant_7124,281,467,389,540,689
variant_7125,315,425,398,400,413
variant_7126,726,1073,1126,1703,2233
variant_7127,15,7,14,24,20
variant_7128,1125,1145,1167,1468,1778
variant_7129,6,0,0,0,0
variant_7130,1310,968,692,793,777
variant_7131,673,152,19,8,0
variant_7132,535,86,6,3,4
variant_7133,1666,1168,578,612,572
variant_7134,175,191,162,173,207
variant_7135,486,834,644,806,1059
variant_7136,16,0,0,0,1
variant_7137,54,19,12,11,11
variant_7138,448,723,647,847,1236
variant_7139,273,233,283,383,542
variant_7140,503,927,834,1112,1457
variant_7141,390,151,54,38,20
variant_7142,336,346,437,505,554
variant_7143,216,16,11,0,1
variant_7144,100,155,141,218,245
variant_7145,350,427,349,511,640
variant_7146,150,42,29,29,28
variant_7147,252,444,195,169,123
variant_7148,255,82,6,3,0
variant_7149,636,1169,1007,1456,1804
variant_7150,349,504,532,612,960
variant_7151,660,691,625,697,861
variant_7152,215,170,71,61,47
variant_7153,355,307,194,317,380
variant_7154,39,48,23,37,16
variant_7155,304,64,11,6,3
variant_7156,19,0,0,1,0
variant_7157,215,86,93,95,122
variant_7158,831,883,310,221,165
variant_7159,117,0,0,2,0
variant_7160,1137,1683,1537,2168,3280
variant_7161,237,559,438,526,709
variant_7162,387,790,601,894,1345
variant_7163,497,575,415,451,489
variant_7164,75,7,0,1,0
variant_7165,1522,2832,2827,3559,4203
variant_7166,8,1,0,0,0
variant_7167,108,140,113,175,227
variant_7168,395,324,128,140,121
variant_7169,1182,284,30,8,9
variant_7170,1276,3567,3694,4997,8258
variant_7171,762,794,804,951,1070
variant_7172,110,53,2,0,0
variant_7173,98,156,135,172,282
variant_7174,2208,301,84,61,38
variant_7175,51,0,1,0,0
variant_7176,296,112,24,12,17
variant_7177,474,722,1000,1283,1801
variant_7178,23,1,0,2,4
variant_7179,234,256,208,427,417
variant_7180,219,324,293,317,347
variant_7181,1137,1120,1310,1681,1815
variant_7182,63,25,12,15,12
variant_7183,424,496,256,323,333
variant_7184,652,1327,965,1749,1836
variant_7185,111,72,29,18,9
variant_7186,33,0,0,0,0
variant_7187,1182,1757,1456,1861,2798
variant_7188,53,0,0,2,0
variant_7189,30,0,0,0,0
variant_7190,34,7,0,0,0
variant_7191,54,1,0,0,1
variant_7192,113,50,35,57,74
variant_7193,100,10,0,0,0
variant_7194,173,193,180,282,332
variant_7195,17,1,0,0,0
variant_7196,113,23,1,0,1
variant_7197,90,94,101,109,132
variant_7198,34,0,0,0,0
variant_7199,72,4,6,4,10
variant_7200,1300,2478,2309,2920,3219
variant_7201,110,91,47,13,19
variant_7202,11,2,0,0,0
variant_7203,124,14,0,0,1
variant_7204,1317,1657,1366,1747,2229
variant_7205,781,1491,1203,1694,2177
variant_7206,34,84,75,106,170
variant_7207,170,107,24,29,3
variant_7208,151,329,256,310,431
variant_7209,119,18,7,9,0
variant_7210,31,0,0,0,0
variant_7211,27,1,1,0,0
variant_7212,785,824,868,1072,1377
variant_7213,1269,1801,1168,1557,2038
variant_7214,208,251,302,411,478
variant_7215,751,111,44,70,48
variant_7216,672,715,645,828,1182
variant_7217,252,95,53,47,70
variant_7218,291,20,0,2,4
variant_7219,124,196,255,260,433
variant_7220,748,86,5,3,6
variant_7221,311,135,40,66,44
variant_7222,728,378,215,220,215
variant_7223,1489,2027,1518,1851,1732
variant_7224,174,259,172,204,267
variant_7225,227,29,44,26,20
variant_7226,255,779,808,1048,1415
variant_7227,261,15,9,22,27
variant_7228,174,119,112,168,242
variant_7229,155,260,346,506,545
variant_7230,45,41,16,22,17
variant_7231,103,71,53,38,56
variant_7232,463,567,405,356,342
variant_7233,285,341,330,372,520
variant_7234,943,1306,862,1004,1060
variant_7235,367,810,860,1299,1556
variant_7236,29,0,0,0,0
variant_7237,357,277,232,315,354
variant_7238,465,656,698,1149,1555
variant_7239,78,17,1,7,7
variant_7240,3427,411,48,51,34
variant_7241,25,3,0,1,0
variant_7242,426,578,376,484,517
variant_7243,241,39,3,0,1
variant_7244,64,18,18,18,47
variant_7245,137,4,1,1,0
variant_7246,3,0,0,0,0
variant_7247,11,0,0,0,0
variant_7248,645,522,218,205,151
variant_7249,238,127,116,142,151
variant_7250,17,0,0,0,0
variant_7251,165,264,259,358,439
variant_7252,319,516,525,653,869
variant_7253,656,1011,653,840,1017
variant_7254,383,620,432,416,539
variant_7255,94,30,17,22,15
variant_7256,429,901,935,1145,1627
variant_7257,89,170,111,145,278
variant_7258,381,172,56,49,24
variant_7259,765,1316,1573,2290,3285
variant_7260,92,2,2,11,9
variant_7261,250,257,306,266,437
variant_7262,7,1,0,0,0
variant_7263,74,0,0,0,1
variant_7264,194,662,716,1056,1642
variant_7265,425,521,328,310,313
variant_7266,54,0,2,2,3
variant_7267,15,0,0,0,0
variant_7268,96,348,319,366,598
variant_7269,194,105,99,141,234
variant_7270,93,167,99,174,223
variant_7271,161,2,1,0,2
variant_7272,228,108,14,6,3
variant_7273,984,1582,1563,2398,3403
variant_7274,581,216,73,75,28
variant_7275,40,4,0,0,0
variant_7276,80,18,5,0,1
variant_7277,187,4,1,1,3
variant_7278,436,916,717,958,1231
variant_7279,375,528,499,646,828
variant_7280,93,161,98,90,61
variant_7281,391,380,392,633,802
variant_7282,13,0,0,1,0
variant_7283,184,15,0,2,8
variant_7284,1377,2335,1548,1487,2037
variant_7285,72,35,13,11,11
variant_7286,137,4,0,3,0
variant_7287,30,0,0,1,0
variant_7288,164,101,118,104,134
variant_7289,25,0,0,0,0
variant_7290,18,1,1,2,2
variant_7291,32,1,0,0,0
variant_7292,680,733,360,242,329
variant_7293,772,580,290,322,202
variant_7294,90,6,2,8,1
variant_7295,11,0,1,0,0
variant_7296,276,96,22,12,10
variant_7297,446,142,82,64,48
variant_7298,574,786,738,1093,1500
variant_7299,162,208,91,81,74
variant_7300,17,0,0,0,0
variant_7301,12,6,0,1,4
variant_7302,116,11,2,7,1
variant_7303,245,281,65,81,67
variant_7304,982,304,60,65,17
variant_7305,31,0,0,0,0
variant_7306,216,503,432,573,788
variant_7307,15,0,0,0,0
variant_7308,415,163,44,36,24
variant_7309,71,44,43,62,85
variant_7310,124,0,0,0,0
variant_7311,79,84,68,105,141
variant_7312,449,584,467,561,523
variant_7313,69,9,11,12,10
variant_7314,119,335,375,456,897
variant_7315,319,366,360,363,422
variant_7316,437,68,9,12,2
variant_7317,1139,167,19,18,24
variant_7318,79,17,3,23,17
variant_7319,50,0,0,0,0
variant_7320,716,1122,924,1143,1393
variant_7321,464,18,3,0,0
variant_7322,1420,1874,955,1028,945
variant_7323,35,3,1,0,2
variant_7324,215,117,53,58,103
variant_7325,216,17,0,0,0
variant_7326,85,4,0,0,0
variant_7327,5,0,0,0,0
variant_7328,373,139,54,47,35
variant_7329,295,105,46,30,27
variant_7330,35,2,0,1,0
variant_7331,220,405,261,329,371
variant_7332,20,1,0,0,0
variant_7333,4,0,0,0,0
variant_7334,97,5,1,1,0
variant_7335,155,120,89,126,197
variant_7336,19,0,0,0,0
variant_7337,210,34,0,3,1
variant_7338,692,1234,1477,2100,3150
variant_7339,710,1696,1604,2252,3290
variant_7340,101,2,0,0,0
variant_7341,56,0,0,0,0
variant_7342,559,282,112,109,89
variant_7343,316,26,2,3,0
variant_7344,111,72,14,6,1
variant_7345,698,1024,932,1445,2304
variant_7346,128,139,133,147,163
variant_7347,1491,171,7,2,1
variant_7348,279,456,527,782,876
variant_7349,35,41,19,39,27
variant_7350,920,1088,1253,2054,2371
variant_7351,159,9,0,0,0
variant_7352,67,6,7,7,2
variant_7353,215,42,28,33,33
variant_7354,67,6,2,0,1
variant_7355,194,105,59,49,69
variant_7356,98,201,152,179,282
variant_7357,617,159,23,27,16
variant_7358,18,1,0,0,0
variant_7359,81,145,116,158,216
variant_7360,80,178,105,100,115
variant_7361,472,41,21,23,9
variant_7362,112,34,42,53,58
variant_7363,40,4,3,1,1
variant_7364,563,277,159,169,145
variant_7365,65,103,114,164,170
variant_7366,49,30,10,3,7
variant_7367,13,29,28,14,29
variant_7368,529,79,0,1,0
variant_7369,24,1,0,1,0
variant_7370,83,38,19,38,54
variant_7371,756,760,749,1235,1529
variant_7372,949,1151,958,846,1025
variant_7373,55,0,0,0,0
variant_7374,71,4,4,0,0
variant_7375,288,56,10,7,1
variant_7376,4,0,0,0,4
variant_7377,1175,252,48,21,8
variant_7378,272,71,19,23,51
variant_7379,1019,1093,681,689,856
variant_7380,237,510,426,731,933
variant_7381,559,1247,1251,1852,2001
variant_7382,282,98,126,116,190
variant_7383,289,593,656,838,1050
variant_7384,366,53,18,27,11
variant_7385,94,73,47,82,65
variant_7386,215,411,348,489,515
variant_7387,204,14,0,0,0
variant_7388,320,63,21,12,15
variant_7389,61,0,0,2,0
variant_7390,466,798,631,629,846
variant_7391,179,186,211,336,378
variant_7392,1575,153,34,29,20
variant_7393,1740,2404,1811,2438,2644
variant_7394,1477,277,45,41,16
variant_7395,249,39,2,4,6
variant_7396,603,110,50,47,33
variant_7397,23,6,1,3,2
variant_7398,394,186,199,219,306
variant_7399,366,79,23,42,26
variant_7400,623,895,874,1376,1934
variant_7401,265,44,1,9,4
variant_7402,58,64,50,33,27
variant_7403,89,121,189,222,291
variant_7404,151,86,29,25,36
variant_7405,23,0,0,0,1
variant_7406,33,0,1,3,2
variant_7407,581,479,282,260,296
variant_7408,294,51,6,12,3
variant_7409,674,224,52,46,40
variant_7410,102,75,78,69,91
variant_7411,74,26,9,15,5
variant_7412,90,19,12,8,4
variant_7413,240,135,47,12,10
variant_7414,16,1,1,1,1
variant_7415,76,85,51,43,43
variant_7416,732,58,12,14,4
variant_7417,406,61,19,15,15
variant_7418,46,0,0,0,0
variant_7419,113,11,3,5,1
variant_7420,344,595,503,570,656
variant_7421,29,6,3,0,4
variant_7422,155,275,293,457,542
variant_7423,20,0,0,0,0
variant_7424,32,0,1,0,0
variant_7425,501,740,587,647,747
variant_7426,227,47,1,0,1
variant_7427,276,291,250,268,230
variant_7428,44,0,0,0,0
variant_7429,1222,1144,746,903,1043
variant_7430,7,0,1,0,0
variant_7431,270,52,71,93,122
variant_7432,488,106,4,5,6
variant_7433,1020,167,23,19,3
variant_7434,1815,162,7,5,5
variant_7435,485,20,2,3,4
variant_7436,651,81,1,1,0
variant_7437,849,84,4,0,4
variant_7438,76,350,337,288,633
variant_7439,367,904,984,1276,1757
variant_7440,344,39,17,12,10
variant_7441,149,237,209,376,536
variant_7442,76,4,0,0,2
variant_7443,239,131,81,100,80
variant_7444,20,0,0,0,0
variant_7445,45,130,79,64,61
variant_7446,316,576,692,1149,1352
variant_7447,361,56,17,12,8
variant_7448,1054,130,1,6,3
variant_7449,162,249,50,64,26
variant_7450,69,34,11,7,6
variant_7451,363,649,446,447,366
variant_7452,132,72,59,91,81
variant_7453,63,0,0,1,0
variant_7454,78,22,1,0,0
variant_7455,178,131,26,40,19
variant_7456,435,688,709,833,1281
variant_7457,11,0,2,0,0
variant_7458,897,1789,1720,2186,2675
variant_7459,1242,1817,1566,2496,3741
variant_7460,161,243,197,256,241
variant_7461,141,649,593,592,1001
variant_7462,115,19,17,20,28
variant_7463,241,33,0,0,0
variant_7464,215,49,15,5,9
variant_7465,201,609,520,629,778
variant_7466,373,646,566,733,772
variant_7467,294,352,281,570,833
variant_7468,1127,948,414,306,283
variant_7469,391,142,51,77,54
variant_7470,219,64,14,4,2
variant_7471,231,18,7,1,3
variant_7472,218,49,3,1,1
variant_7473,1431,912,449,474,368
variant_7474,262,354,294,419,723
variant_7475,20,20,13,32,39
variant_7476,55,87,122,150,182
variant_7477,185,421,487,713,1131
variant_7478,170,668,541,423,1026
variant_7479,262,336,235,333,397
variant_7480,296,300,186,355,386
variant_7481,512,56,4,4,3
variant_7482,85,39,8,12,8
variant_7483,719,403,164,158,110
variant_7484,281,35,2,0,0
variant_7485,551,485,461,847,978
variant_7486,8,0,0,0,0
variant_7487,273,1000,1158,1340,2650
variant_7488,692,605,215,294,295
variant_7489,552,923,735,1216,1386
variant_7490,294,30,1,2,0
variant_7491,513,272,55,34,18
variant_7492,656,937,808,1407,1880
variant_7493,1278,3268,3428,4999,6941
variant_7494,16,0,1,0,0
variant_7495,712,114,17,25,6
variant_7496,105,45,14,10,5
variant_7497,544,132,115,111,70
variant_7498,30,15,10,11,22
variant_7499,628,1112,1118,1542,2182
variant_7500,42,3,0,0,0
variant_7501,543,303,99,159,113
variant_7502,123,310,315,395,438
variant_7503,592,413,245,212,226
variant_7504,297,35,7,9,1
variant_7505,644,995,866,1329,1972
variant_7506,22,0,0,0,0
variant_7507,16,0,0,0,0
variant_7508,106,0,8,4,1
variant_7509,53,1,2,2,3
variant_7510,196,63,6,0,4
variant_7511,94,1,0,3,0
variant_7512,249,100,46,26,20
variant_7513,187,110,13,4,0
variant_7514,24,2,2,0,11
variant_7515,294,490,298,311,520
variant_7516,727,605,651,860,1050
variant_7517,141,60,28,32,46
variant_7518,173,149,109,187,189
variant_7519,80,198,229,351,451
variant_7520,96,11,1,0,0
variant_7521,28,51,23,28,104
